boundary_method,duration_seconds,end_master_seconds,master,master_trigger_recovered_from_both_insoles,record,start_master_seconds,trial
unpaired start: context until just before next start,256.03000000000003,530.24,F,False,Amit_1,274.21,1
paired trigger interval,18.95,549.2,F,False,Amit_1,530.25,2
paired trigger interval,21.38,580.39,F,False,Amit_1,559.01,3
paired trigger interval,20.02,613.03,F,False,Amit_1,593.01,4
paired trigger interval,20.63,639.31,F,False,Amit_1,618.68,5
paired trigger interval,20.69,673.19,F,False,Amit_1,652.5,6
paired trigger interval,21.330000000000002,701.84,F,False,Amit_1,680.51,7
paired trigger interval,21.95,744.92,F,False,Amit_1,722.97,8
paired trigger interval,20.52,772.9,F,False,Amit_1,752.38,9
paired trigger interval,21.14,804.2,F,False,Amit_1,783.06,10
paired trigger interval,22.05,832.04,F,False,Amit_1,809.99,11
paired trigger interval,21.830000000000002,860.73,F,False,Amit_1,838.9,12
paired trigger interval,19.14,1113.33,F,False,Amit_1,1094.19,13
paired trigger interval,20.92,1159.1,F,False,Amit_1,1138.18,14
paired trigger interval,20.400000000000002,1196.95,F,False,Amit_1,1176.55,15
paired trigger interval,19.93,1228.53,F,False,Amit_1,1208.6,16
paired trigger interval,19.38,1262.38,F,False,Amit_1,1243.0,17
paired trigger interval,22.25,1290.92,F,False,Amit_1,1268.67,18
paired trigger interval,20.63,1319.05,F,False,Amit_1,1298.42,19
paired trigger interval,21.81,1348.48,F,False,Amit_1,1326.67,20
paired trigger interval,21.05,1376.74,F,False,Amit_1,1355.69,21
paired trigger interval,22.36,1406.75,F,False,Amit_1,1384.39,22
paired trigger interval,21.77,1434.83,F,False,Amit_1,1413.06,23
paired trigger interval,20.7,1462.18,F,False,Amit_1,1441.48,24
paired trigger interval,11.92,1484.36,F,False,Amit_1,1472.44,25
paired trigger interval,21.03,1509.22,F,False,Amit_1,1488.19,26
paired trigger interval,20.29,1536.5,F,False,Amit_1,1516.21,27
paired trigger interval,18.93,1563.73,F,False,Amit_1,1544.8,28
paired trigger interval,19.89,1592.38,F,False,Amit_1,1572.49,29
paired trigger interval,20.91,1622.91,F,False,Amit_1,1602.0,30
paired trigger interval,19.47,584.46,F,False,Amit_21,564.99,1
paired trigger interval,28.97,620.39,F,False,Amit_21,591.42,2
paired trigger interval,21.14,651.97,F,False,Amit_21,630.83,3
paired trigger interval,19.98,679.64,F,False,Amit_21,659.66,4
paired trigger interval,20.01,704.83,F,False,Amit_21,684.82,5
paired trigger interval,20.3,732.48,F,False,Amit_21,712.18,6
paired trigger interval,21.67,758.81,F,False,Amit_21,737.14,7
paired trigger interval,21.5,787.56,F,False,Amit_21,766.06,8
paired trigger interval,20.71,812.69,F,False,Amit_21,791.98,9
paired trigger interval,21.51,838.05,F,False,Amit_21,816.54,10
paired trigger interval,20.59,864.77,F,False,Amit_21,844.18,11
paired trigger interval,21.94,893.75,F,False,Amit_21,871.81,12
paired trigger interval,21.17,919.84,F,False,Amit_21,898.67,13
paired trigger interval,19.91,950.52,F,False,Amit_21,930.61,14
paired trigger interval,24.310000000000002,978.43,F,False,Amit_21,954.12,15
paired trigger interval,23.19,1007.68,F,False,Amit_21,984.49,16
paired trigger interval,21.12,1033.48,F,False,Amit_21,1012.36,17
paired trigger interval,21.55,1060.85,F,False,Amit_21,1039.3,18
paired trigger interval,18.96,1083.82,F,False,Amit_21,1064.86,19
paired trigger interval,21.01,1111.7,F,False,Amit_21,1090.69,20
