baseline,gain,offset,record,side,signal,trial
203.0,0.3521126760563398,60,sir_1,R,Channel 7,5
262.99999999999545,0.1345291479820668,40,sir_1,R,Channel 8,5
8.97,2.5,400,sir_1,R,CoP,5
1268.9999999999993,0.03825136612022349,380,sir_1,R,vGRF,5
63.00000000000341,0.891719745222972,200,sir_1,L,Channel 1,6
88.99999999999955,1.0,170,sir_1,L,Channel 2,6
49.00000000000125,1.0,145,sir_1,L,Channel 3,6
108.00000000000045,1.0,120,sir_1,L,Channel 4,6
130.0,1.0,100,sir_1,L,Channel 5,6
114.99999999999636,0.9589041095890889,80,sir_1,L,Channel 6,6
38.0,1.0,60,sir_1,L,Channel 7,6
175.99999999999613,0.19108280254778146,40,sir_1,L,Channel 8,6
15.32000000000001,2.5,400,sir_1,L,CoP,6
2218.590000000001,0.04119828144311795,380,sir_1,L,vGRF,6
40.0,0.611353711790393,200,sir_1,R,Channel 1,6
173.0,0.72340425531916,170,sir_1,R,Channel 2,6
47.999999999994536,0.7222222222222119,145,sir_1,R,Channel 3,6
53.0,1.0,120,sir_1,R,Channel 4,6
232.0,1.0,100,sir_1,R,Channel 5,6
95.99999999999841,0.9154929577464738,80,sir_1,R,Channel 6,6
166.0,0.5263157894737236,60,sir_1,R,Channel 7,6
213.0,0.17241379310344856,40,sir_1,R,Channel 8,6
9.039999999999981,2.5,400,sir_1,R,CoP,6
1308.0,0.03959276018100137,380,sir_1,R,vGRF,6
43.0,0.8092485549132948,200,sir_1,L,Channel 1,7
88.9999999999884,1.0,170,sir_1,L,Channel 2,7
49.9999999999975,1.0,145,sir_1,L,Channel 3,7
65.0,1.0,120,sir_1,L,Channel 4,7
101.0,1.0,100,sir_1,L,Channel 5,7
96.00000000000136,1.0,80,sir_1,L,Channel 6,7
30.0,1.0,60,sir_1,L,Channel 7,7
178.00000000000068,0.18867924528301805,40,sir_1,L,Channel 8,7
15.540000000000001,2.5,400,sir_1,L,CoP,7
2312.8400000000092,0.04324137334602039,380,sir_1,L,vGRF,7
52.0,0.6140350877192987,200,sir_1,R,Channel 1,7
184.9999999999975,0.7981220657276902,170,sir_1,R,Channel 2,7
47.0,0.7090909090909192,145,sir_1,R,Channel 3,7
95.99999999999682,1.0,120,sir_1,R,Channel 4,7
258.9999999999957,0.9782608695652634,100,sir_1,R,Channel 5,7
137.0,0.9090909090909091,80,sir_1,R,Channel 6,7
207.0,0.35211267605637153,60,sir_1,R,Channel 7,7
200.0,0.1875,40,sir_1,R,Channel 8,7
9.04,2.5,400,sir_1,R,CoP,7
1339.0,0.038932146829811,380,sir_1,R,vGRF,7
65.99999999999454,0.9589041095890053,200,sir_1,L,Channel 1,8
97.00000000000091,1.0,170,sir_1,L,Channel 2,8
51.00000000000091,1.0,145,sir_1,L,Channel 3,8
149.0,0.873015873015873,120,sir_1,L,Channel 4,8
163.0,0.7758620689655172,100,sir_1,L,Channel 5,8
125.0,0.8433734939759037,80,sir_1,L,Channel 6,8
35.0,1.0,60,sir_1,L,Channel 7,8
180.0,0.1863354037267128,40,sir_1,L,Channel 8,8
15.8,2.5,400,sir_1,L,CoP,8
2299.00999999999,0.03921612567087832,380,sir_1,L,vGRF,8
143.0,1.0,200,sir_1,R,Channel 1,8
254.00000000000045,0.7272727272727257,170,sir_1,R,Channel 2,8
104.0,0.9198113207547169,145,sir_1,R,Channel 3,8
88.0,1.0,120,sir_1,R,Channel 4,8
300.0,0.6000000000001109,100,sir_1,R,Channel 5,8
194.99999999999636,0.5072463768116076,80,sir_1,R,Channel 6,8
224.00000000000182,0.32679738562091115,60,sir_1,R,Channel 7,8
309.0,0.1111111111111201,40,sir_1,R,Channel 8,8
9.24,2.5,400,sir_1,R,CoP,8
1365.000000000004,0.04018369690013215,380,sir_1,R,vGRF,8
72.00000000000136,1.0,200,sir_1,L,Channel 1,9
107.00000000000364,1.0,170,sir_1,L,Channel 2,9
51.0,1.0,145,sir_1,L,Channel 3,9
