alternative_transition_end_seconds,alternative_transition_start_seconds,clock_offset_seconds,flags,fmg_edges,fmg_gaps,full_fmg_seconds,full_insole_seconds,gi_end_seconds,gt_start_seconds,insole_edges,insole_gaps,invalid_fmg_rows_in_source,invalid_insole_rows_in_source,load_peaks_left,load_peaks_right,matched_edges,max_matched_residual_seconds,missing_fmg_edge_numbers,nonmonotonic_or_duplicate_timestamps,onset_seconds,png,record,reference_limb,segmented_csv,sequence_assumption,side,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,trigger_boundary_status,trigger_end_error_seconds
10.77,7.29,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.25999999999999,19.27000000000004,2.68,14.9,40,0,7,6,11,12,40,0.010000000000104592,[],53,2.15,sub_1/trial_06_r_complete.png,sub_1,R,segmented_data\sub_1\trial_06_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,10.77,9.71,provisional six-phase fit,0.3056,weak/ambiguous pattern evidence,6,observed,0.010000000000047748
10.06,5.17,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.569999999999993,19.569999999999993,2.61,15.63,40,0,7,4,12,12,40,0.010000000000104592,[],65,2.21,sub_1/trial_07_l_complete.png,sub_1,L,segmented_data\sub_1\trial_07_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,8.62,7.45,provisional six-phase fit,0.4849,weak/ambiguous pattern evidence,7,observed,0.0
10.06,5.17,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.569999999999993,19.569999999999993,2.61,15.63,40,0,7,6,12,12,40,0.010000000000104592,[],65,2.21,sub_1/trial_07_r_complete.png,sub_1,L,segmented_data\sub_1\trial_07_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,8.62,7.45,provisional six-phase fit,0.4849,weak/ambiguous pattern evidence,7,observed,0.0
13.02,9.43,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.420000000000016,20.409999999999968,3.36,16.62,40,0,7,4,11,12,40,0.010000000000104592,[],46,2.98,sub_1/trial_08_l_complete.png,sub_1,R,segmented_data\sub_1\trial_08_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,11.78,10.59,provisional six-phase fit,0.3641,weak/ambiguous pattern evidence,8,observed,-0.010000000000047748
13.02,9.43,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.420000000000016,20.410000000000025,3.36,16.62,40,0,7,6,11,12,40,0.010000000000104592,[],46,2.98,sub_1/trial_08_r_complete.png,sub_1,R,segmented_data\sub_1\trial_08_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,11.78,10.59,provisional six-phase fit,0.3641,weak/ambiguous pattern evidence,8,observed,-0.009999999999990905
11.94,8.36,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.090000000000032,20.079999999999984,2.94,15.93,40,0,7,4,12,12,40,0.010000000000104592,[],42,2.57,sub_1/trial_09_l_complete.png,sub_1,L,segmented_data\sub_1\trial_09_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,10.33,9.45,provisional six-phase fit,0.3129,weak/ambiguous pattern evidence,9,observed,-0.010000000000047748
11.94,8.36,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.090000000000032,20.08000000000004,2.94,15.93,40,0,7,6,12,12,40,0.010000000000104592,[],42,2.57,sub_1/trial_09_r_complete.png,sub_1,L,segmented_data\sub_1\trial_09_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,10.33,9.45,provisional six-phase fit,0.3129,weak/ambiguous pattern evidence,9,observed,-0.009999999999990905
12.68,9.14,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,21.39999999999992,21.409999999999968,3.3,15.65,40,0,7,4,11,12,40,0.010000000000104592,[],76,2.78,sub_1/trial_10_l_complete.png,sub_1,R,segmented_data\sub_1\trial_10_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,11.52,10.33,provisional six-phase fit,0.3452,weak/ambiguous pattern evidence,10,observed,0.010000000000047748
12.68,9.14,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,21.39999999999992,21.410000000000082,3.3,15.65,40,0,7,6,11,12,40,0.010000000000104592,[],76,2.78,sub_1/trial_10_r_complete.png,sub_1,R,segmented_data\sub_1\trial_10_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,11.52,10.33,provisional six-phase fit,0.3452,weak/ambiguous pattern evidence,10,observed,0.010000000000161435
10.52,4.36,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,18.050000000000068,18.059999999999945,1.81,14.43,40,0,7,4,12,12,40,0.010000000000104592,[],52,1.49,sub_1/trial_11_l_complete.png,sub_1,L,segmented_data\sub_1\trial_11_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,8.94,8.19,provisional six-phase fit,0.3412,weak/ambiguous pattern evidence,11,observed,0.009999999999877218
