clock_offset_seconds,fmg_edges,fmg_gaps,full_fmg_seconds,full_insole_seconds,insole_edges,insole_gaps,invalid_fmg_rows_in_source,invalid_insole_rows_in_source,matched_edges,max_matched_residual_seconds,missing_fmg_edge_numbers,nonmonotonic_or_duplicate_timestamps,record,side,trial,trigger_boundary_status,trigger_end_error_seconds
2.7000000000000455,40,0,19.109999999999957,19.110000000000014,40,0,7,4,40,0.010000000000104592,[],41,sub_1,L,1,observed,5.684341886080802e-14
12.879999999999995,40,0,19.109999999999957,19.099999999999966,40,0,7,6,40,0.010000000000104592,[],41,sub_1,R,1,observed,-0.009999999999990905
2.7000000000000455,40,0,18.72999999999996,18.720000000000027,40,0,7,4,40,0.010000000000104592,[],53,sub_1,L,2,observed,-0.009999999999934062
12.879999999999995,40,0,18.72999999999996,18.70999999999998,40,0,7,6,40,0.010000000000104592,[],53,sub_1,R,2,observed,-0.01999999999998181
2.7000000000000455,40,0,20.47999999999996,20.480000000000018,40,0,7,4,40,0.010000000000104592,[],51,sub_1,L,3,observed,5.684341886080802e-14
12.879999999999995,40,0,20.47999999999996,20.49000000000001,40,0,7,6,40,0.010000000000104592,[],51,sub_1,R,3,observed,0.010000000000047748
2.7000000000000455,40,0,22.660000000000025,22.670000000000016,40,0,7,4,40,0.010000000000104592,[],88,sub_1,L,4,observed,0.009999999999990905
12.879999999999995,40,0,22.660000000000025,22.670000000000016,40,0,7,6,40,0.010000000000104592,[],88,sub_1,R,4,observed,0.009999999999990905
2.7000000000000455,40,0,18.370000000000005,18.389999999999986,40,0,7,4,40,0.010000000000104592,[],60,sub_1,L,5,observed,0.01999999999998181
12.879999999999995,40,0,18.370000000000005,18.379999999999995,40,0,7,6,40,0.010000000000104592,[],60,sub_1,R,5,observed,0.009999999999990905
2.7000000000000455,40,0,19.25999999999999,19.25,40,0,7,4,40,0.010000000000104592,[],53,sub_1,L,6,observed,-0.009999999999990905
12.879999999999995,40,0,19.25999999999999,19.27000000000004,40,0,7,6,40,0.010000000000104592,[],53,sub_1,R,6,observed,0.010000000000047748
2.7000000000000455,40,0,19.569999999999993,19.569999999999993,40,0,7,4,40,0.010000000000104592,[],65,sub_1,L,7,observed,0.0
12.879999999999995,40,0,19.569999999999993,19.569999999999993,40,0,7,6,40,0.010000000000104592,[],65,sub_1,R,7,observed,0.0
2.7000000000000455,40,0,20.420000000000016,20.409999999999968,40,0,7,4,40,0.010000000000104592,[],46,sub_1,L,8,observed,-0.010000000000047748
12.879999999999995,40,0,20.420000000000016,20.410000000000025,40,0,7,6,40,0.010000000000104592,[],46,sub_1,R,8,observed,-0.009999999999990905
2.7000000000000455,40,0,20.090000000000032,20.079999999999984,40,0,7,4,40,0.010000000000104592,[],42,sub_1,L,9,observed,-0.010000000000047748
12.879999999999995,40,0,20.090000000000032,20.08000000000004,40,0,7,6,40,0.010000000000104592,[],42,sub_1,R,9,observed,-0.009999999999990905
2.7000000000000455,40,0,21.39999999999992,21.409999999999968,40,0,7,4,40,0.010000000000104592,[],76,sub_1,L,10,observed,0.010000000000047748
12.879999999999995,40,0,21.39999999999992,21.410000000000082,40,0,7,6,40,0.010000000000104592,[],76,sub_1,R,10,observed,0.010000000000161435
2.7000000000000455,40,0,18.050000000000068,18.059999999999945,40,0,7,4,40,0.010000000000104592,[],52,sub_1,L,11,observed,0.009999999999877218
12.879999999999995,40,0,18.050000000000068,18.050000000000068,40,0,7,6,40,0.010000000000104592,[],52,sub_1,R,11,observed,0.0
2.7000000000000455,40,0,20.220000000000027,20.220000000000027,40,0,7,4,40,0.010000000000104592,[],64,sub_1,L,12,observed,0.0
12.879999999999995,40,0,20.220000000000027,20.210000000000036,40,0,7,6,40,0.010000000000104592,[],64,sub_1,R,12,observed,-0.009999999999990905
2.7000000000000455,40,0,20.819999999999936,20.83000000000004,40,0,7,4,40,0.010000000000104592,[],45,sub_1,L,13,observed,0.010000000000104592
12.879999999999995,40,0,20.819999999999936,20.829999999999927,40,0,7,6,40,0.010000000000104592,[],45,sub_1,R,13,observed,0.009999999999990905
2.7000000000000455,40,0,19.100000000000023,19.100000000000023,40,0,7,4,40,0.010000000000104592,[],30,sub_1,L,14,observed,0.0
12.879999999999995,40,0,19.100000000000023,19.110000000000014,40,0,7,6,40,0.010000000000104592,[],30,sub_1,R,14,observed,0.009999999999990905
2.7000000000000455,40,0,20.25999999999999,20.25,40,0,7,4,40,0.010000000000104592,[],40,sub_1,L,15,observed,-0.009999999999990905
12.879999999999995,40,0,20.25999999999999,20.25,40,0,7,6,40,0.010000000000104592,[],40,sub_1,R,15,observed,-0.009999999999990905
2.7000000000000455,40,0,21.8599999999999,21.860000000000014,40,0,7,4,40,0.010000000000104592,[],43,sub_1,L,16,observed,1.1368683772161603e-13
12.879999999999995,40,0,21.8599999999999,21.870000000000005,40,0,7,6,40,0.010000000000104592,[],43,sub_1,R,16,observed,0.010000000000104592
2.7000000000000455,40,0,24.42999999999995,24.440000000000055,40,0,7,4,40,0.010000000000104592,[],48,sub_1,L,17,observed,0.010000000000104592
12.879999999999995,40,0,24.42999999999995,24.42999999999995,40,0,7,6,40,0.010000000000104592,[],48,sub_1,R,17,observed,0.0
2.7000000000000455,40,0,19.17999999999995,19.180000000000064,40,0,7,4,40,0.010000000000104592,[],55,sub_1,L,18,observed,1.1368683772161603e-13
12.879999999999995,40,0,19.17999999999995,19.16999999999996,40,0,7,6,40,0.010000000000104592,[],55,sub_1,R,18,observed,-0.009999999999990905
2.7000000000000455,40,0,19.539999999999964,19.550000000000068,40,0,7,4,40,0.010000000000104592,[],38,sub_1,L,19,observed,0.010000000000104592
12.879999999999995,40,0,19.539999999999964,19.540000000000077,40,0,7,6,40,0.010000000000104592,[],38,sub_1,R,19,observed,1.1368683772161603e-13
2.7000000000000455,40,0,19.32000000000005,19.329999999999927,40,0,7,4,40,0.010000000000104592,[],53,sub_1,L,20,observed,0.009999999999877218
12.879999999999995,40,0,19.32000000000005,19.32000000000005,40,0,7,6,40,0.010000000000104592,[],53,sub_1,R,20,observed,0.0
2.7000000000000455,40,0,19.120000000000005,19.120000000000005,39,0,5,0,39,0.08000000000004093,[32],39,sub_21,L,1,observed,0.0
12.879999999999882,40,0,19.120000000000005,19.120000000000005,40,0,5,5,40,0.07999999999992724,[],39,sub_21,R,1,observed,0.0
2.7000000000000455,40,0,19.649999999999977,19.639999999999986,39,0,5,0,39,0.08000000000004093,[32],46,sub_21,L,2,observed,-0.009999999999990905
12.879999999999882,40,0,19.649999999999977,19.639999999999986,40,0,5,5,40,0.07999999999992724,[],46,sub_21,R,2,observed,-0.009999999999990905
2.7000000000000455,40,0,20.440000000000055,20.42999999999995,39,0,5,0,39,0.08000000000004093,[32],47,sub_21,L,3,observed,-0.010000000000104592
12.879999999999882,40,0,20.440000000000055,20.450000000000045,40,0,5,5,40,0.07999999999992724,[],47,sub_21,R,3,observed,0.009999999999990905
2.7000000000000455,40,0,19.269999999999982,19.260000000000105,39,0,5,0,39,0.08000000000004093,[32],53,sub_21,L,4,observed,-0.009999999999877218
12.879999999999882,40,0,19.269999999999982,19.25999999999999,40,0,5,5,40,0.07999999999992724,[],53,sub_21,R,4,observed,-0.009999999999990905
2.7000000000000455,40,0,19.899999999999977,19.99000000000001,39,0,5,0,39,0.08000000000004093,[32],35,sub_21,L,5,observed,0.09000000000003183
12.879999999999882,40,0,19.899999999999977,19.980000000000018,40,0,5,5,40,0.07999999999992724,[],35,sub_21,R,5,observed,0.08000000000004093
2.7000000000000455,40,0,19.190000000000055,19.200000000000045,39,0,5,0,39,0.08000000000004093,[32],41,sub_21,L,6,observed,0.009999999999990905
12.879999999999882,40,0,19.190000000000055,19.209999999999923,40,0,5,5,40,0.07999999999992724,[],41,sub_21,R,6,observed,0.019999999999868123
2.7000000000000455,40,0,20.449999999999932,20.460000000000036,39,0,5,0,39,0.08000000000004093,[32],26,sub_21,L,7,observed,0.010000000000104592
12.879999999999882,40,0,20.449999999999932,20.450000000000045,40,0,5,5,40,0.07999999999992724,[],26,sub_21,R,7,observed,1.1368683772161603e-13
2.7000000000000455,40,0,18.829999999999927,18.850000000000136,39,0,5,0,39,0.08000000000004093,[32],22,sub_21,L,8,observed,0.020000000000209184
12.879999999999882,40,0,18.829999999999927,18.829999999999927,40,0,5,5,40,0.07999999999992724,[],22,sub_21,R,8,observed,0.0
2.7000000000000455,40,0,19.539999999999964,19.550000000000182,39,0,5,0,39,0.08000000000004093,[32],21,sub_21,L,9,observed,0.010000000000218279
12.879999999999882,40,0,19.539999999999964,19.529999999999973,40,0,5,5,40,0.07999999999992724,[],21,sub_21,R,9,observed,-0.009999999999990905
2.7000000000000455,40,0,20.460000000000036,20.449999999999818,39,0,5,0,39,0.08000000000004093,[32],19,sub_21,L,10,observed,-0.010000000000218279
12.879999999999882,40,0,20.460000000000036,20.450000000000045,40,0,5,5,40,0.07999999999992724,[],19,sub_21,R,10,observed,-0.009999999999990905
