alignment_method,fmg_qs_samples,fmg_qs_seconds,insole_qs_samples,insole_qs_seconds,local_trial,onset_status,png,record,side,status,subject,sync_status
start and end trigger phase mapping,75,0.75,65,0.65,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_08_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,107,1.07,93,0.93,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_09_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,82,0.82,71,0.71,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_10_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_01_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_02_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_03_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_04_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_05_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_06_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_07_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,157,1.57,140,1.4,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_08_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_09_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_10_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,190,1.9,163,1.63,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_01_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,214,2.14,184,1.84,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_02_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,154,1.54,132,1.32,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_03_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,186,1.86,166,1.66,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_04_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,141,1.41,122,1.22,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_05_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,258,2.58,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_06_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,226,2.26,193,1.93,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_07_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_08_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,255,2.55,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_09_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,64,0.64,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_10_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,179,1.79,153,1.53,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_11_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,64,0.64,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_12_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,182,1.82,156,1.56,13,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_13_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,118,1.18,102,1.02,14,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_14_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,196,1.96,168,1.68,15,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_15_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,281,2.81,241,2.41,16,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_16_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,185,1.85,157,1.57,17,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_17_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,216,2.16,186,1.86,18,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_18_l.png,abh_1,L,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,66,0.66,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_01_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,66,0.66,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_02_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,138,1.38,121,1.21,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_03_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,237,2.37,215,2.15,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_04_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,142,1.42,125,1.25,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_05_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,299,2.99,261,2.61,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_06_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,201,2.01,175,1.75,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_07_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
