alignment_method,fmg_qs_samples,fmg_qs_seconds,insole_qs_samples,insole_qs_seconds,local_trial,onset_status,png,record,side,status,subject,sync_status
start and end trigger phase mapping,75,0.75,68,0.68,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_07_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,175,1.75,158,1.58,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_08_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,88,0.88,80,0.8,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_09_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,91,0.91,82,0.82,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_10_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,144,1.44,130,1.3,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_11_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,98,0.98,88,0.88,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_12_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,158,1.58,139,1.39,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_01_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,138,1.38,122,1.22,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_02_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,110,1.1,96,0.96,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_03_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,81,0.81,71,0.71,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_04_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,200,2.0,175,1.75,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_05_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,114,1.14,100,1.0,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_06_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,92,0.92,81,0.81,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_07_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,66,0.66,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_08_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,66,0.66,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_09_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,66,0.66,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_10_l.png,vipin_21,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,203,2.03,185,1.85,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_01_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,135,1.35,123,1.23,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_02_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,78,0.78,71,0.71,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_03_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,84,0.84,76,0.76,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_04_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,130,1.3,118,1.18,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_05_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,139,1.39,126,1.26,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_06_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,98,0.98,89,0.89,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_07_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,91,0.91,83,0.83,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_08_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,68,0.68,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_09_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,86,0.86,78,0.78,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_21/trial_10_r.png,vipin_21,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,258,2.58,218,2.18,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_01_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,234,2.34,199,1.99,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_02_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,294,2.94,249,2.49,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_03_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,237,2.37,201,2.01,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_04_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,222,2.22,188,1.88,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_05_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,253,2.53,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_06_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,179,1.79,152,1.52,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_07_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,225,2.25,191,1.91,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_08_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,136,1.36,115,1.15,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_09_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,88,0.88,75,0.75,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_10_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,288,2.88,244,2.44,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_11_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,198,1.98,171,1.71,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_12_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,254,2.54,13,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_13_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,63,0.63,14,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_14_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,81,0.81,68,0.68,15,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_15_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,64,0.64,16,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_16_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,296,2.96,251,2.51,17,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_17_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,63,0.63,18,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_18_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,254,2.54,19,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_19_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,194,1.94,165,1.65,20,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_20_l.png,Alif_1,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,272,2.72,232,2.32,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_01_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,275,2.75,235,2.35,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_02_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,256,2.56,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_03_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,64,0.64,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_04_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,223,2.23,190,1.9,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_05_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,256,2.56,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_06_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,256,2.56,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_07_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,256,2.56,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_08_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,251,2.51,214,2.14,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_09_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,110,1.1,94,0.94,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_10_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,293,2.93,250,2.5,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_11_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,174,1.74,151,1.51,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_12_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,255,2.55,13,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_13_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,123,1.23,105,1.05,14,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_14_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,292,2.92,248,2.48,15,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_15_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,255,2.55,16,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_16_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,255,2.55,17,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_17_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,255,2.55,18,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_18_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,254,2.54,19,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_19_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,198,1.98,168,1.68,20,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_1/trial_20_r.png,Alif_1,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,248,2.48,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_01_l.png,Alif_21,L,created,Sub02_H,trigger count mismatch 18 vs 17
start and end trigger phase mapping,122,1.22,104,1.04,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_02_l.png,Alif_21,L,created,Sub02_H,trigger count mismatch 18 vs 17
start and end trigger phase mapping,79,0.79,67,0.67,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_03_l.png,Alif_21,L,created,Sub02_H,trigger count mismatch 18 vs 17
start and end trigger phase mapping,75,0.75,64,0.64,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_04_l.png,Alif_21,L,created,Sub02_H,trigger count mismatch 18 vs 17
start and end trigger phase mapping,138,1.38,118,1.18,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_05_l.png,Alif_21,L,created,Sub02_H,trigger count mismatch 18 vs 17
start and end trigger phase mapping,210,2.1,179,1.79,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_06_l.png,Alif_21,L,created,Sub02_H,trigger count mismatch 18 vs 17
start and end trigger phase mapping,186,1.86,158,1.58,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_07_l.png,Alif_21,L,created,Sub02_H,trigger count mismatch 18 vs 17
start and end trigger phase mapping,75,0.75,64,0.64,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_08_l.png,Alif_21,L,created,Sub02_H,trigger count mismatch 18 vs 17
start trigger and nominal sample rate mapping,204,2.04,204,2.04,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_09_l.png,Alif_21,L,created,Sub02_H,trigger count mismatch 18 vs 17
start and end trigger phase mapping,300,3.0,255,2.55,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_01_r.png,Alif_21,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,155,1.55,132,1.32,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_02_r.png,Alif_21,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,256,2.56,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_03_r.png,Alif_21,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,257,2.57,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_04_r.png,Alif_21,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,276,2.76,235,2.35,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_05_r.png,Alif_21,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,231,2.31,197,1.97,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_06_r.png,Alif_21,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,64,0.64,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_07_r.png,Alif_21,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,97,0.97,83,0.83,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_08_r.png,Alif_21,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,281,2.81,239,2.39,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_21/trial_09_r.png,Alif_21,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,155,1.55,135,1.35,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_01_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,78,0.78,66,0.66,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_02_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,211,2.11,178,1.78,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_03_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,63,0.63,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_04_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,131,1.31,111,1.11,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_05_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,63,0.63,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_06_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,253,2.53,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_07_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,63,0.63,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_08_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,207,2.07,175,1.75,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_09_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,232,2.32,196,1.96,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_10_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,135,1.35,114,1.14,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_11_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,144,1.44,121,1.21,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_12_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,119,1.19,100,1.0,13,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_13_l.png,Alif_30,L,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,160,1.6,141,1.41,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_01_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,218,2.18,186,1.86,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_02_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,257,2.57,218,2.18,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_03_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,240,2.4,203,2.03,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_04_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,255,2.55,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_05_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,260,2.6,221,2.21,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_06_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,240,2.4,204,2.04,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_07_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,163,1.63,138,1.38,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_08_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,268,2.68,227,2.27,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_09_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,163,1.63,138,1.38,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_10_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,249,2.49,211,2.11,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_11_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,157,1.57,133,1.33,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_12_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,272,2.72,231,2.31,13,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_H/Alif_30/trial_13_r.png,Alif_30,R,created,Sub02_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,62,0.62,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_01_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_02_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,156,1.56,127,1.27,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_03_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,92,0.92,75,0.75,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_04_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_05_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,111,1.11,90,0.9,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_06_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_07_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,98,0.98,80,0.8,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_08_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_09_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_10_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,150,1.5,122,1.22,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_11_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,87,0.87,70,0.7,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_12_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,13,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_13_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,14,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_14_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,81,0.81,66,0.66,15,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_15_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,16,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_16_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,79,0.79,64,0.64,17,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_17_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,60,0.6,18,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_18_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,19,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_19_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,20,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_20_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,80,0.8,65,0.65,21,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_21_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,102,1.02,83,0.83,22,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_22_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,23,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_23_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,61,0.61,24,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_24_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,243,2.43,25,stable QS cap (3.0 s),Sub03_H/Amit_1/trial_25_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,85,0.85,69,0.69,26,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_26_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,60,0.6,27,FMG movement onset detected with 0.5 s pre-onset buffer,Sub03_H/Amit_1/trial_27_l.png,Amit_1,L,created,Sub03_H,trigger sequence synchronized
