normalized_sslw_percent,fmg_channel_3_mean,fmg_channel_3_standard_deviation,contributing_trace_count
0,308.1625,269.927314001,40
0.334448160535,308.239046823,270.447936358,40
0.66889632107,307.315551839,269.832339863,40
1.00334448161,307.14590301,269.29415727,40
1.33779264214,308.17583612,269.680399427,40
1.67224080268,309.162876254,270.186858185,40
2.00668896321,310.233528428,270.68524516,40
2.34113712375,310.966471572,271.197519543,40
2.67558528428,311.540719064,271.335845192,40
3.01003344482,310.398913043,270.020310897,40
3.34448160535,305.526003344,265.106694544,40
3.67892976589,296.178595318,256.384233375,40
4.01337792642,284.151839465,244.955028552,40
4.34782608696,269.092391304,232.366878,40
4.68227424749,255.560033445,221.843052298,40
5.01672240803,243.989673913,213.064382637,40
5.35117056856,232.581438127,204.384184082,40
5.6856187291,219.495819398,194.650993998,40
6.02006688963,207.87993311,185.804863119,40
6.35451505017,203.047617057,179.916656769,40
6.6889632107,204.384615385,176.58742421,40
7.02341137124,206.686538462,175.532870116,40
7.35785953177,209.693729097,177.170262659,40
7.69230769231,212.538461538,178.096563961,40
8.02675585284,214.598662207,178.060977465,40
8.36120401338,214.027424749,175.567617852,40
8.69565217391,210.606521739,172.323886689,40
9.03010033445,208.370986622,170.309376765,40
9.36454849498,205.375459866,167.357496676,40
9.69899665552,202.814381271,165.034391164,40
10.0334448161,202.218311037,164.445011579,40
10.3678929766,204.628762542,166.933511498,40
10.7023411371,214.469816054,177.904838975,40
11.0367892977,224.987625418,190.817820789,40
11.3712374582,237.09138796,205.534502228,40
11.7056856187,245.317474916,215.097021685,40
12.0401337793,252.046153846,223.269998607,40
12.3745819398,256.041973244,228.426063774,40
12.7090301003,260.275250836,232.336415758,40
13.0434782609,265.579347826,236.942524195,40
13.3779264214,268.908779264,239.997153911,40
13.7123745819,271.37826087,241.555291987,40
14.0468227425,272.679180602,242.261044904,40
14.381270903,273.267056856,242.220684555,40
14.7157190635,273.38812709,241.988257032,40
15.0501672241,272.539966555,241.043691248,40
15.3846153846,270.074038462,237.925060984,40
15.7190635452,265.061036789,231.512188013,40
16.0535117057,259.084364548,224.389373157,40
16.3879598662,254.379055184,219.375783016,40
16.7224080268,246.113461538,211.579027286,40
17.0568561873,239.250710702,205.170851579,40
17.3913043478,232.954891304,199.676819367,40
17.7257525084,224.707483278,193.346309421,40
18.0602006689,220.250543478,190.439184821,40
18.3946488294,216.921153846,186.583816199,40
18.72909699,217.748494983,185.938068034,40
19.0635451505,218.899916388,185.999808801,40
19.397993311,221.297533445,188.814836596,40
19.7324414716,225.800334448,193.518655771,40
20.0668896321,229.278344482,197.661011402,40
20.4013377926,230.916847826,200.768228923,40
20.7357859532,232.4090301,202.486012995,40
21.0702341137,235.324916388,204.855468007,40
21.4046822742,237.49180602,206.606780207,40
21.7391304348,238.641847826,207.326369722,40
22.0735785953,240.406396321,207.944667969,40
22.4080267559,243.388879599,209.259181858,40
22.7424749164,252.506354515,215.792296406,40
23.0769230769,258.754807692,222.101118704,40
23.4113712375,264.959322742,227.49787232,40
23.745819398,269.948411371,232.155038435,40
24.0802675585,276.093394649,238.414028925,40
24.4147157191,282.780685619,244.537327699,40
24.7491638796,290.373453177,250.626618376,40
25.0836120401,296.314464883,256.765849555,40
25.4180602007,298.955685619,259.809845871,40
25.7525083612,302.383528428,261.910102014,40
26.0869565217,304.520652174,263.9975043,40
26.4214046823,304.81722408,265.199029568,40
26.7558528428,302.975668896,265.613873629,40
27.0903010033,301.587876254,265.505400991,40
27.4247491639,300.152257525,265.282615726,40
27.7591973244,297.455852843,263.213578618,40
28.0936454849,292.93770903,259.14868867,40
28.4280936455,285.929807692,252.540482018,40
28.762541806,279.311329431,246.222817184,40
