time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing
0.00,43,83,49,133,126,116,34,196,16.510000000000002,2242.2399999999998,QS,provisional_assumed_short_to_long,0
0.01,43,83.999999999999091,50,132.00000000000091,125.99999999999909,116.99999999999818,34,196.99999999999818,16.52,2240.2399999999989,QS,provisional_assumed_short_to_long,0
0.02,43,83,50,132.99999999999818,125,115.00000000000364,34,194.99999999999818,16.52,2239.2400000000007,QS,provisional_assumed_short_to_long,0
0.03,43,83.000000000002728,50,132.00000000000546,125.00000000000546,116.99999999998636,34,194.00000000000273,16.52,2239.7400000000011,QS,provisional_assumed_short_to_long,0
0.04,43,84,50,134,126.99999999999272,112.00000000000728,34,195.00000000000364,16.52,2240.2399999999998,QS,provisional_assumed_short_to_long,0
0.05,42.999999999995453,83.999999999995453,50,134,125.00000000000455,113.99999999999545,34,195.99999999999091,16.52,2240.2399999999998,QS,provisional_assumed_short_to_long,0
0.06,42,83.000000000005457,50,134.00000000000546,125.99999999999454,113.00000000002183,34,194,16.52,2240.2399999999998,QS,provisional_assumed_short_to_long,0
0.07,42.000000000006366,84,50,135,125,117,33.999999999993634,194.00000000000637,16.52,2240.2400000000061,QS,provisional_assumed_short_to_long,0
0.08,42.999999999995907,84,50,135,125,117,33.000000000004093,194.99999999999591,16.52,2241.2399999999852,QS,provisional_assumed_short_to_long,0
0.09,43,83.000000000003183,49.000000000003183,135,125,116.00000000000318,33.999999999996817,194.00000000000318,16.52,2239.2399999999916,QS,provisional_assumed_short_to_long,0
0.10,42.000000000002274,82.000000000002274,49.999999999997726,135,125,116.99999999999773,34,194.99999999999773,16.52,2238.2399999999907,QS,provisional_assumed_short_to_long,0
0.11,42,82.999999999998636,50,135,125,117,33.000000000001364,195,16.520000000000099,2237.2399999999698,QS,provisional_assumed_short_to_long,0
0.12,42,83.999999999999545,50,135.99999999999955,125,114.00000000000136,33.999999999999545,195,16.530000000000001,2234.2300000000437,QS,provisional_assumed_short_to_long,0
0.13,42,82.999999999999545,50,135,125.99999999999909,116.99999999999818,33,195.00000000000045,16.530000000000118,2238.2300000000237,QS,provisional_assumed_short_to_long,0
0.14,42.000000000001364,82,50.000000000001364,135,124.00000000000136,113.00000000000682,33.000000000001364,196,16.539999999999999,2240.2299999999873,QS,provisional_assumed_short_to_long,0
0.15,43,82.000000000002274,50.999999999997726,135,125.00000000000227,117.99999999999545,34,196,16.539999999999999,2239.2300000000137,QS,provisional_assumed_short_to_long,0
0.16,43,83,50,135,126,116.00000000000318,34,195.99999999999682,16.539999999999999,2240.2299999999709,QS,provisional_assumed_short_to_long,0
0.17,43,83,49.999999999995907,135.00000000000409,125.99999999999591,117,33.999999999995907,195.00000000000409,16.539999999999999,2238.2299999999691,QS,provisional_assumed_short_to_long,0
0.18,42.999999999994998,83.000000000010004,49.000000000005002,135.999999999995,125,116.99999999999,33.000000000005002,196.000000000005,16.540000000000163,2236.2300000000328,QS,provisional_assumed_short_to_long,0
0.19,42.000000000005912,84.999999999988177,50,135,125,115.00000000000591,34,196.99999999999409,16.550000000000001,2238.2300000000346,QS,provisional_assumed_short_to_long,0
0.20,43,83.000000000006821,50,135.00000000000682,125,116.00000000001364,33.999999999993179,196,16.550000000000001,2240.2300000000364,QS,provisional_assumed_short_to_long,0
0.21,43,83.999999999996362,50,135.99999999999636,125,117.99999999999272,33.000000000003638,196,16.550000000000001,2242.23,QS,provisional_assumed_short_to_long,0
0.22,43,84,50,136,125,116.00000000000546,33.999999999997272,196,16.5500000000002,2242.22999999998,QS,provisional_assumed_short_to_long,0
0.23,42.000000000001819,83.000000000001819,50,135.00000000000182,124.00000000000182,117.99999999999636,34,196,16.559999999999896,2241.219999999958,QS,provisional_assumed_short_to_long,0
0.24,42.999999999999091,83,50,135.99999999999909,124.99999999999909,118,33.000000000000909,196,16.554999999999946,2239.2199999999789,QS,provisional_assumed_short_to_long,0
0.25,43,86,49,135,126,117,34,196,16.550000000000001,2237.2199999999998,QS,provisional_assumed_short_to_long,0
0.26,42.000000000000909,83.999999999998181,49.999999999999091,135,124.00000000000182,117.99999999999727,34,197.99999999999909,16.559999999999999,2236.219999999998,QS,provisional_assumed_short_to_long,0
0.27,43,82.000000000001819,49.000000000001819,135,126,115.00000000000546,34,197,16.560000000000016,2234.2200000000034,QS,provisional_assumed_short_to_long,0
0.28,43,83,50,134.99999999999727,125.99999999999727,117.99999999999454,34,197.00000000000273,16.57,2236.2200000000053,QS,provisional_assumed_short_to_long,0
0.29,43,83.000000000003638,50,134,125.00000000000364,115.99999999999272,34,197.99999999999636,16.570000000000036,2238.2200000000034,QS,provisional_assumed_short_to_long,0
0.30,43,84,50,134,125.99999999999545,114.00000000000909,34,197.00000000000455,16.579999999999998,2239.2199999999998,QS,provisional_assumed_short_to_long,0
0.31,43,83.999999999994543,50,134,125,116.00000000000546,34,198,16.579999999999998,2239.2199999999998,QS,provisional_assumed_short_to_long,0
0.32,43,83.000000000006366,50,134.00000000000637,124.99999999999363,117.00000000000637,34,197.99999999999363,16.579999999999998,2239.2199999999934,QS,provisional_assumed_short_to_long,0
0.33,43,83.999999999995907,50,134.99999999999591,124.00000000000409,117.99999999999591,34,197.00000000000409,16.580000000000069,2238.2200000000216,QS,provisional_assumed_short_to_long,0
0.34,43,83.000000000003183,50,134.00000000000318,124.99999999999682,113.0000000000159,34,196.00000000000318,16.59,2241.2099999999837,QS,provisional_assumed_short_to_long,0
