boundary_method,duration_seconds,end_master_seconds,master,master_trigger_recovered_from_both_insoles,record,start_master_seconds,trial
paired trigger interval,21.51,424.14,F,False,Alif_1,402.63,1
paired trigger interval,21.240000000000002,460.47,F,False,Alif_1,439.23,2
paired trigger interval,22.97,515.81,F,False,Alif_1,492.84,3
paired trigger interval,21.81,545.22,F,False,Alif_1,523.41,4
paired trigger interval,20.96,577.0,F,False,Alif_1,556.04,5
paired trigger interval,21.5,605.67,F,False,Alif_1,584.17,6
paired trigger interval,22.45,635.68,F,False,Alif_1,613.23,7
paired trigger interval,23.56,663.84,F,False,Alif_1,640.28,8
paired trigger interval,21.240000000000002,693.9,F,False,Alif_1,672.66,9
paired trigger interval,23.31,721.98,F,False,Alif_1,698.67,10
paired trigger interval,22.69,754.41,F,False,Alif_1,731.72,11
paired trigger interval,22.42,782.17,F,False,Alif_1,759.75,12
paired trigger interval,22.88,812.24,F,False,Alif_1,789.36,13
paired trigger interval,21.93,838.54,F,False,Alif_1,816.61,14
paired trigger interval,21.91,866.12,F,False,Alif_1,844.21,15
paired trigger interval,22.1,892.6,F,False,Alif_1,870.5,16
paired trigger interval,21.830000000000002,920.15,F,False,Alif_1,898.32,17
paired trigger interval,22.740000000000002,949.23,F,False,Alif_1,926.49,18
paired trigger interval,26.88,982.99,F,False,Alif_1,956.11,19
paired trigger interval,21.68,1012.43,F,False,Alif_1,990.75,20
paired trigger interval,23.52,1239.71,F,False,Alif_21,1216.19,1
paired trigger interval,23.02,1268.84,F,False,Alif_21,1245.82,2
paired trigger interval,22.39,1297.48,F,False,Alif_21,1275.09,3
paired trigger interval,25.27,1327.56,F,False,Alif_21,1302.29,4
paired trigger interval,20.71,1353.22,F,False,Alif_21,1332.51,5
paired trigger interval,20.57,1388.06,F,False,Alif_21,1367.49,6
paired trigger interval,22.81,1416.9,F,False,Alif_21,1394.09,7
paired trigger interval,21.27,1442.74,F,False,Alif_21,1421.47,8
paired trigger interval,21.01,1471.91,F,False,Alif_21,1450.9,9
paired trigger interval,19.88,246.85,F,False,Alif_30,226.97,1
paired trigger interval,20.87,272.61,F,False,Alif_30,251.74,2
paired trigger interval,21.5,299.42,F,False,Alif_30,277.92,3
paired trigger interval,20.72,325.91,F,False,Alif_30,305.19,4
paired trigger interval,23.85,356.55,F,False,Alif_30,332.7,5
paired trigger interval,22.69,384.46,F,False,Alif_30,361.77,6
paired trigger interval,20.64,408.89,F,False,Alif_30,388.25,7
paired trigger interval,19.94,433.67,F,False,Alif_30,413.73,8
paired trigger interval,19.94,458.05,F,False,Alif_30,438.11,9
paired trigger interval,20.7,484.21,F,False,Alif_30,463.51,10
paired trigger interval,21.97,510.95,F,False,Alif_30,488.98,11
paired trigger interval,21.240000000000002,553.01,F,False,Alif_30,531.77,12
paired trigger interval,20.6,579.1,F,False,Alif_30,558.5,13
