clock_offset_to_master,epoch,master,matched_edges,matched_reference_indices,matched_source_indices,max_residual_seconds,median_residual_seconds,record,side,source_end,source_rows,source_start,source_trigger_count,status
0.0,0,F,40,,,0.0,0.0,Alif_1,F,1030.54,65751,139.64,40,aligned
-21.539999999999964,0,F,40,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",0.009999999999990905,0.0049999999999954525,Alif_1,L,1003.31,55948,96.7,40,aligned
48.84000000000003,0,F,40,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",0.010000000000104592,0.0,Alif_1,R,1084.6,56491,5.59,40,aligned
0.0,0,F,18,,,0.0,0.0,Alif_21,F,1502.08,31020,1158.95,18,aligned
-21.539999999999964,0,F,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.009999999999990905,0.009999999999990905,Alif_21,L,1475.71,26384,127.07,17,aligned
48.840000000000146,0,F,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.010000000000218279,0.009999999999763531,Alif_21,R,1555.22,27108,1218.19,18,aligned
0.0,0,F,26,,,0.0,0.0,Alif_30,F,587.63,46876,107.91,26,aligned
6.139999999999986,0,F,26,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.01999999999998181,5.684341886080802e-14,Alif_30,L,588.21,39658,81.2,26,aligned
12.259999999999991,0,F,26,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.010000000000047748,5.684341886080802e-14,Alif_30,R,604.94,40255,128.76,26,aligned
