end_index,end_seconds,phase,record,start_index,start_seconds,status,trial
330,3.3,QS,vipin_1,0,0.0,provisional,1
420,4.2,GI,vipin_1,330,3.3,provisional,1
698,6.98,SSSW,vipin_1,420,4.2,provisional,1
859,8.59,SLT,vipin_1,698,6.98,provisional,1
2225,22.25,SSLW,vipin_1,859,8.59,provisional,1
2758,27.57,GT,vipin_1,2225,22.25,provisional,1
228,2.28,QS,vipin_1,0,0.0,model_assisted_provisional,2
308,3.08,GI,vipin_1,228,2.28,model_assisted_provisional,2
940,9.4,SSSW,vipin_1,308,3.08,model_assisted_provisional,2
1109,11.09,SLT,vipin_1,940,9.4,model_assisted_provisional,2
2128,21.28,SSLW,vipin_1,1109,11.09,model_assisted_provisional,2
2580,25.79,GT,vipin_1,2128,21.28,model_assisted_provisional,2
195,1.95,QS,vipin_1,0,0.0,provisional,3
283,2.83,GI,vipin_1,195,1.95,provisional,3
603,6.03,SSSW,vipin_1,283,2.83,provisional,3
768,7.68,SLT,vipin_1,603,6.03,provisional,3
2144,21.44,SSLW,vipin_1,768,7.68,provisional,3
2548,25.47,GT,vipin_1,2144,21.44,provisional,3
210,2.1,QS,vipin_1,0,0.0,provisional,4
318,3.18,GI,vipin_1,210,2.1,provisional,4
737,7.37,SSSW,vipin_1,318,3.18,provisional,4
923,9.23,SLT,vipin_1,737,7.37,provisional,4
2108,21.08,SSLW,vipin_1,923,9.23,provisional,4
2564,25.63,GT,vipin_1,2108,21.08,provisional,4
245,2.45,QS,vipin_1,0,0.0,provisional,5
319,3.19,GI,vipin_1,245,2.45,provisional,5
1006,10.06,SSSW,vipin_1,319,3.19,provisional,5
1083,10.83,SLT,vipin_1,1006,10.06,provisional,5
2082,20.82,SSLW,vipin_1,1083,10.83,provisional,5
2506,25.05,GT,vipin_1,2082,20.82,provisional,5
206,2.06,QS,vipin_1,0,0.0,provisional,6
369,3.69,GI,vipin_1,206,2.06,provisional,6
990,9.9,SSSW,vipin_1,369,3.69,provisional,6
1158,11.58,SLT,vipin_1,990,9.9,provisional,6
2072,20.72,SSLW,vipin_1,1158,11.58,provisional,6
2564,25.63,GT,vipin_1,2072,20.72,provisional,6
240,2.4,QS,vipin_1,0,0.0,model_assisted_provisional,7
355,3.55,GI,vipin_1,240,2.4,model_assisted_provisional,7
666,6.66,SSSW,vipin_1,355,3.55,model_assisted_provisional,7
832,8.32,SLT,vipin_1,666,6.66,model_assisted_provisional,7
2228,22.28,SSLW,vipin_1,832,8.32,model_assisted_provisional,7
2668,26.67,GT,vipin_1,2228,22.28,model_assisted_provisional,7
202,2.02,QS,vipin_1,0,0.0,provisional,8
271,2.71,GI,vipin_1,202,2.02,provisional,8
475,4.75,SSSW,vipin_1,271,2.71,provisional,8
643,6.43,SLT,vipin_1,475,4.75,provisional,8
2056,20.56,SSLW,vipin_1,643,6.43,provisional,8
2479,24.78,GT,vipin_1,2056,20.56,provisional,8
149,1.49,QS,vipin_1,0,0.0,provisional,9
233,2.33,GI,vipin_1,149,1.49,provisional,9
561,5.61,SSSW,vipin_1,233,2.33,provisional,9
736,7.36,SLT,vipin_1,561,5.61,provisional,9
2074,20.74,SSLW,vipin_1,736,7.36,provisional,9
2539,25.38,GT,vipin_1,2074,20.74,provisional,9
277,2.77,QS,vipin_1,0,0.0,provisional,10
367,3.67,GI,vipin_1,277,2.77,provisional,10
1000,10.0,SSSW,vipin_1,367,3.67,provisional,10
1174,11.74,SLT,vipin_1,1000,10.0,provisional,10
2197,21.97,SSLW,vipin_1,1174,11.74,provisional,10
2539,25.38,GT,vipin_1,2197,21.97,provisional,10
174,1.74,QS,vipin_1,0,0.0,provisional,11
274,2.74,GI,vipin_1,174,1.74,provisional,11
1108,11.08,SSSW,vipin_1,274,2.74,provisional,11
1173,11.73,SLT,vipin_1,1108,11.08,provisional,11
2028,20.28,SSLW,vipin_1,1173,11.73,provisional,11
2364,23.63,GT,vipin_1,2028,20.28,provisional,11
195,1.95,QS,vipin_1,0,0.0,provisional,12
250,2.5,GI,vipin_1,195,1.95,provisional,12
499,4.99,SSSW,vipin_1,250,2.5,provisional,12
641,6.41,SLT,vipin_1,499,4.99,provisional,12
2047,20.47,SSLW,vipin_1,641,6.41,provisional,12
2486,24.85,GT,vipin_1,2047,20.47,provisional,12
232,2.32,QS,vipin_21,0,0.0,model_assisted_provisional,1
314,3.14,GI,vipin_21,232,2.32,model_assisted_provisional,1
1129,11.29,SSSW,vipin_21,314,3.14,model_assisted_provisional,1
1291,12.91,SLT,vipin_21,1129,11.29,model_assisted_provisional,1
1999,19.99,SSLW,vipin_21,1291,12.91,model_assisted_provisional,1
2750,27.49,GT,vipin_21,1999,19.99,model_assisted_provisional,1
170,1.7,QS,vipin_21,0,0.0,provisional,2
293,2.93,GI,vipin_21,170,1.7,provisional,2
1509,15.09,SSSW,vipin_21,293,2.93,provisional,2
1577,15.77,SLT,vipin_21,1509,15.09,provisional,2
2115,21.15,SSLW,vipin_21,1577,15.77,provisional,2
2447,24.46,GT,vipin_21,2115,21.15,provisional,2
138,1.38,QS,vipin_21,0,0.0,model_assisted_provisional,3
305,3.05,GI,vipin_21,138,1.38,model_assisted_provisional,3
938,9.38,SSSW,vipin_21,305,3.05,model_assisted_provisional,3
1108,11.08,SLT,vipin_21,938,9.38,model_assisted_provisional,3
1997,19.97,SSLW,vipin_21,1108,11.08,model_assisted_provisional,3
2407,24.06,GT,vipin_21,1997,19.97,model_assisted_provisional,3
124,1.24,QS,vipin_21,0,0.0,provisional,4
292,2.92,GI,vipin_21,124,1.24,provisional,4
558,5.58,SSSW,vipin_21,292,2.92,provisional,4
731,7.31,SLT,vipin_21,558,5.58,provisional,4
2065,20.65,SSLW,vipin_21,731,7.31,provisional,4
2458,24.57,GT,vipin_21,2065,20.65,provisional,4
219,2.19,QS,vipin_21,0,0.0,provisional,5
297,2.97,GI,vipin_21,219,2.19,provisional,5
956,9.56,SSSW,vipin_21,297,2.97,provisional,5
1022,10.22,SLT,vipin_21,956,9.56,provisional,5
2106,21.06,SSLW,vipin_21,1022,10.22,provisional,5
2437,24.36,GT,vipin_21,2106,21.06,provisional,5
126,1.26,QS,vipin_21,0,0.0,provisional,6
231,2.31,GI,vipin_21,126,1.26,provisional,6
551,5.51,SSSW,vipin_21,231,2.31,provisional,6
711,7.11,SLT,vipin_21,551,5.51,provisional,6
2007,20.07,SSLW,vipin_21,711,7.11,provisional,6
2317,23.16,GT,vipin_21,2007,20.07,provisional,6
127,1.27,QS,vipin_21,0,0.0,model_assisted_provisional,7
270,2.7,GI,vipin_21,127,1.27,model_assisted_provisional,7
1242,12.42,SSSW,vipin_21,270,2.7,model_assisted_provisional,7
1413,14.13,SLT,vipin_21,1242,12.42,model_assisted_provisional,7
1957,19.57,SSLW,vipin_21,1413,14.13,model_assisted_provisional,7
2304,23.03,GT,vipin_21,1957,19.57,model_assisted_provisional,7
218,2.18,QS,vipin_21,0,0.0,provisional,8
343,3.43,GI,vipin_21,218,2.18,provisional,8
843,8.43,SSSW,vipin_21,343,3.43,provisional,8
1040,10.4,SLT,vipin_21,843,8.43,provisional,8
2226,22.26,SSLW,vipin_21,1040,10.4,provisional,8
2543,25.42,GT,vipin_21,2226,22.26,provisional,8
166,1.66,QS,vipin_21,0,0.0,provisional,9
282,2.82,GI,vipin_21,166,1.66,provisional,9
1084,10.84,SSSW,vipin_21,282,2.82,provisional,9
1255,12.55,SLT,vipin_21,1084,10.84,provisional,9
2022,20.22,SSLW,vipin_21,1255,12.55,provisional,9
2400,23.99,GT,vipin_21,2022,20.22,provisional,9
201,2.01,QS,vipin_21,0,0.0,provisional,10
293,2.93,GI,vipin_21,201,2.01,provisional,10
792,7.92,SSSW,vipin_21,293,2.93,provisional,10
973,9.73,SLT,vipin_21,792,7.92,provisional,10
2094,20.94,SSLW,vipin_21,973,9.73,provisional,10
