fmg_gaps,full_fmg_seconds,full_insole_seconds,gt_start_seconds,insole_gaps,nonmonotonic_or_duplicate_timestamps,onset_seconds,png,record,review,settled_seconds,side,trial,trigger_end_error_seconds,walk_stage_labels
0,22.899999999999977,22.899999999999977,,0,75,2.92,Sub08_H/sir_1/trial_07_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,7,0.0,unverified: no per-trial step-length event annotations
0,23.829999999999927,23.83000000000004,,0,47,4.74,Sub08_H/sir_1/trial_08_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,8,1.1368683772161603e-13,unverified: no per-trial step-length event annotations
0,23.540000000000077,23.539999999999964,,0,51,3.61,Sub08_H/sir_1/trial_09_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,9,-1.1368683772161603e-13,unverified: no per-trial step-length event annotations
0,23.700000000000045,23.68999999999994,,0,65,3.6,Sub08_H/sir_1/trial_10_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,10,-0.010000000000104592,unverified: no per-trial step-length event annotations
0,22.91999999999996,22.940000000000055,,0,51,3.32,Sub08_H/sir_1/trial_11_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,11,0.020000000000095497,unverified: no per-trial step-length event annotations
0,24.819999999999936,24.82000000000005,,0,49,4.2,Sub08_H/sir_1/trial_12_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,12,1.1368683772161603e-13,unverified: no per-trial step-length event annotations
0,23.980000000000018,23.980000000000018,,0,46,3.81,Sub08_H/sir_1/trial_13_r_complete.png,sir_1,provisional onset and settling; inspect both sensor groups; timestamp quality review,17.86,R,13,0.0,unverified: no per-trial step-length event annotations
0,29.300000000000068,29.319999999999936,,0,50,4.58,Sub08_H/sir_1/trial_14_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,14,0.019999999999868123,unverified: no per-trial step-length event annotations
2,25.589999999999918,25.589999999999918,,0,77,6.17,Sub08_H/sir_1/trial_15_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,15,0.0,unverified: no per-trial step-length event annotations
1,22.909999999999968,22.909999999999854,,0,60,2.99,Sub08_H/sir_1/trial_16_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,16,-1.1368683772161603e-13,unverified: no per-trial step-length event annotations
0,26.090000000000032,26.089999999999918,,0,58,5.37,Sub08_H/sir_1/trial_17_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,17,-1.1368683772161603e-13,unverified: no per-trial step-length event annotations
0,22.730000000000018,22.730000000000018,,0,44,3.55,Sub08_H/sir_1/trial_18_r_complete.png,sir_1,provisional onset and settling; inspect both sensor groups; timestamp quality review,18.52,R,18,0.0,unverified: no per-trial step-length event annotations
0,24.639999999999986,24.659999999999854,,0,64,3.27,Sub08_H/sir_1/trial_19_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,19,0.019999999999868123,unverified: no per-trial step-length event annotations
0,25.039999999999964,25.029999999999973,,0,52,4.97,Sub08_H/sir_1/trial_20_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,20,-0.009999999999990905,unverified: no per-trial step-length event annotations
0,24.479999999999905,24.480000000000018,,0,49,3.86,Sub08_H/sir_1/trial_21_r_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,R,21,1.1368683772161603e-13,unverified: no per-trial step-length event annotations
0,27.3599999999999,27.38000000000011,,0,53,8.02,Sub08_H/sir_21/trial_01_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,1,0.020000000000209184,unverified: no per-trial step-length event annotations
0,21.87000000000012,21.899999999999864,,0,24,3.75,Sub08_H/sir_21/trial_02_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,2,0.02999999999974534,unverified: no per-trial step-length event annotations
0,28.1400000000001,28.1400000000001,,0,35,4.54,Sub08_H/sir_21/trial_03_l_complete.png,sir_21,provisional onset and settling; inspect both sensor groups; timestamp quality review,26.28,L,3,0.0,unverified: no per-trial step-length event annotations
0,24.25,24.24000000000001,,0,31,3.96,Sub08_H/sir_21/trial_04_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,4,-0.009999999999990905,unverified: no per-trial step-length event annotations
0,21.160000000000082,21.159999999999854,,0,42,2.38,Sub08_H/sir_21/trial_05_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,5,-2.2737367544323206e-13,unverified: no per-trial step-length event annotations
0,22.49000000000001,22.49000000000001,,0,26,3.78,Sub08_H/sir_21/trial_06_l_complete.png,sir_21,provisional onset and settling; inspect both sensor groups; timestamp quality review,18.45,L,6,0.0,unverified: no per-trial step-length event annotations
0,21.539999999999964,21.550000000000182,,0,37,3.26,Sub08_H/sir_21/trial_07_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,7,0.010000000000218279,unverified: no per-trial step-length event annotations
0,22.70999999999981,22.720000000000027,,0,23,4.41,Sub08_H/sir_21/trial_08_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,8,0.010000000000218279,unverified: no per-trial step-length event annotations
0,21.930000000000064,21.930000000000064,,0,39,2.24,Sub08_H/sir_21/trial_09_l_complete.png,sir_21,provisional onset and settling; inspect both sensor groups; timestamp quality review,17.55,L,9,0.0,unverified: no per-trial step-length event annotations
0,23.15000000000009,23.140000000000327,,0,35,3.28,Sub08_H/sir_21/trial_10_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,10,-0.009999999999763531,unverified: no per-trial step-length event annotations
0,21.12999999999988,21.139999999999873,,0,19,2.9,Sub08_H/sir_21/trial_11_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,11,0.009999999999990905,unverified: no per-trial step-length event annotations
0,22.6099999999999,22.609999999999673,,0,29,3.48,Sub08_H/sir_21/trial_12_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,12,-2.2737367544323206e-13,unverified: no per-trial step-length event annotations
0,20.809999999999945,20.8100000000004,,0,47,2.69,Sub08_H/sir_21/trial_13_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,13,4.547473508864641e-13,unverified: no per-trial step-length event annotations
1,22.019999999999982,22.019999999999982,,0,36,3.19,Sub08_H/sir_21/trial_14_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,14,0.0,unverified: no per-trial step-length event annotations
0,20.389999999999873,20.390000000000327,,0,34,2.06,Sub08_H/sir_21/trial_15_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,15,4.547473508864641e-13,unverified: no per-trial step-length event annotations
0,21.679999999999836,21.690000000000055,,0,40,3.69,Sub08_H/sir_21/trial_16_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,16,0.010000000000218279,unverified: no per-trial step-length event annotations
0,20.74000000000001,20.73999999999978,,0,29,2.85,Sub08_H/sir_21/trial_17_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,17,-2.2737367544323206e-13,unverified: no per-trial step-length event annotations
3,21.710000000000036,21.710000000000036,,0,41,3.58,Sub08_H/sir_21/trial_18_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,18,0.0,unverified: no per-trial step-length event annotations
0,19.98999999999978,19.98999999999978,,1,22,2.77,Sub08_H/sir_21/trial_19_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,19,0.0,unverified: no per-trial step-length event annotations
0,20.48999999999978,20.48999999999978,,0,35,2.18,Sub08_H/sir_21/trial_20_l_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,L,20,0.0,unverified: no per-trial step-length event annotations
0,27.3599999999999,27.37000000000012,,0,53,7.76,Sub08_H/sir_21/trial_01_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,1,0.010000000000218279,unverified: no per-trial step-length event annotations
0,21.87000000000012,21.87999999999988,,0,24,3.65,Sub08_H/sir_21/trial_02_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,2,0.009999999999763531,unverified: no per-trial step-length event annotations
0,28.1400000000001,28.15000000000009,,0,35,4.82,Sub08_H/sir_21/trial_03_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,3,0.009999999999990905,unverified: no per-trial step-length event annotations
0,24.25,24.25,,0,31,3.86,Sub08_H/sir_21/trial_04_r_complete.png,sir_21,provisional onset and settling; inspect both sensor groups; timestamp quality review,18.14,R,4,0.0,unverified: no per-trial step-length event annotations
0,21.160000000000082,21.169999999999845,,0,42,2.51,Sub08_H/sir_21/trial_05_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,5,0.009999999999763531,unverified: no per-trial step-length event annotations
0,22.49000000000001,22.480000000000018,,0,26,3.71,Sub08_H/sir_21/trial_06_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,6,-0.009999999999990905,unverified: no per-trial step-length event annotations
