normalized_gi_percent,fmg_channel_2_mean,fmg_channel_2_standard_deviation,contributing_trace_count
0,197.8,159.749092329,40
0.334448160535,197.877884615,159.766538012,40
0.66889632107,197.930685619,159.771274237,40
1.00334448161,197.916847826,159.724715477,40
1.33779264214,197.944607023,159.686960881,40
1.67224080268,198.009280936,159.671662883,40
2.00668896321,198.130351171,159.670852983,40
2.34113712375,198.252466555,159.663476026,40
2.67558528428,198.348327759,159.66399971,40
3.01003344482,198.459406355,159.662289555,40
3.34448160535,198.563879599,159.66537177,40
3.67892976589,198.57132107,159.66274826,40
4.01337792642,198.545819398,159.675418602,40
4.34782608696,198.525,159.760309413,40
4.68227424749,198.485367893,159.813681884,40
5.01672240803,198.473160535,159.829793937,40
5.35117056856,198.534280936,159.875323183,40
5.6856187291,198.685284281,159.909363551,40
6.02006688963,198.759615385,159.915046565,40
6.35451505017,198.859113712,159.960811712,40
6.6889632107,198.980267559,160.02459079,40
7.02341137124,199.090050167,160.0653905,40
7.35785953177,199.210451505,160.09057773,40
7.69230769231,199.338461538,160.09444864,40
8.02675585284,199.475919732,160.0688469,40
8.36120401338,199.566053512,160.017291246,40
8.69565217391,199.658695652,160.054458936,40
9.03010033445,199.758528428,160.093099627,40
9.36454849498,199.846237458,160.152072798,40
9.69899665552,199.903511706,160.19213478,40
10.0334448161,200.014214047,160.251856229,40
10.3678929766,200.223411371,160.254451289,40
10.7023411371,200.470150502,160.22080581,40
11.0367892977,200.533737458,160.128280328,40
11.3712374582,200.468520067,160.108535288,40
11.7056856187,200.438545151,160.153426197,40
12.0401337793,200.408946488,160.167001018,40
12.3745819398,200.448411371,160.157933489,40
12.7090301003,200.556856187,160.157153522,40
13.0434782609,200.650543478,160.140357593,40
13.3779264214,200.796613712,160.16235656,40
13.7123745819,200.988795987,160.081571893,40
14.0468227425,201.215844482,159.948079763,40
14.381270903,201.359531773,159.837076196,40
14.7157190635,201.49485786,159.774621735,40
15.0501672241,201.766220736,159.705733807,40
15.3846153846,202.000961538,159.598233668,40
15.7190635452,202.085158863,159.621616796,40
16.0535117057,202.090175585,159.633370475,40
16.3879598662,202.060576923,159.565562782,40
16.7224080268,202.014423077,159.457285338,40
17.0568561873,202.018854515,159.350531678,40
17.3913043478,202.113586957,159.213853498,40
17.7257525084,202.191011706,159.07742456,40
18.0602006689,202.305100334,158.930359245,40
18.3946488294,202.511287625,158.764890803,40
18.72909699,202.682859532,158.518291863,40
19.0635451505,202.692892977,158.302323793,40
19.397993311,202.675250836,158.113633311,40
19.7324414716,202.621404682,158.032277179,40
20.0668896321,202.585576923,157.953489052,40
20.4013377926,202.468018395,157.816125803,40
20.7357859532,202.441973244,157.528246257,40
21.0702341137,202.56166388,157.269615858,40
21.4046822742,202.703595318,157.017698464,40
21.7391304348,202.819565217,156.745278342,40
22.0735785953,202.943227425,156.49542503,40
22.4080267559,203.077090301,156.121345687,40
22.7424749164,203.157859532,155.759615882,40
23.0769230769,203.115384615,155.510431736,40
23.4113712375,202.984949833,155.269218883,40
23.745819398,202.720986622,154.954534977,40
24.0802675585,202.530351171,154.660709333,40
24.4147157191,202.470986622,154.361074526,40
24.7491638796,202.530434783,154.072807844,40
25.0836120401,202.560535117,153.825045194,40
25.4180602007,202.576755853,153.551517591,40
25.7525083612,202.616722408,153.206466236,40
26.0869565217,202.586956522,152.81668689,40
26.4214046823,202.419732441,152.52418413,40
26.7558528428,202.301672241,152.278223823,40
27.0903010033,202.290635452,152.018914934,40
27.4247491639,202.256688963,151.818288491,40
27.7591973244,202.126337793,151.633068195,40
28.0936454849,202.019481605,151.521027498,40
28.4280936455,201.896237458,151.445965486,40
28.762541806,201.924749164,151.220561847,40
29.0969899666,201.944063545,150.975950722,40
29.4314381271,201.713377926,150.813696325,40
29.7658862876,201.484280936,150.697106499,40
30.1003344482,201.343394649,150.699123992,40
30.4347826087,201.361956522,150.726062763,40
30.7692307692,201.407692308,150.727469884,40
31.1036789298,201.486956522,150.701922303,40
31.4381270903,201.416638796,150.619363313,40
31.7725752508,201.093311037,150.491520616,40
32.1070234114,201.006521739,150.493761278,40
32.4414715719,201.010451505,150.527942065,40
32.7759197324,200.880852843,150.571493789,40
33.110367893,200.758528428,150.605008924,40
33.4448160535,200.671404682,150.621199516,40
33.779264214,200.630351171,150.653753661,40
34.1137123746,200.676170569,150.674836506,40
34.4481605351,200.788879599,150.688583818,40
34.7826086957,200.77173913,150.682279993,40
35.1170568562,200.699080268,150.695361748,40
35.4515050167,200.627090301,150.732395566,40
35.7859531773,200.503428094,150.721948709,40
36.1204013378,200.444481605,150.703357339,40
36.4548494983,200.281856187,150.617721104,40
36.7892976589,200.068478261,150.532942309,40
37.1237458194,199.744732441,150.456834135,40
