boundary_method,duration_seconds,end_master_seconds,master,master_trigger_recovered_from_both_insoles,record,start_master_seconds,trial
paired trigger interval,21.07,302.24,F,False,abh_1,281.17,1
paired trigger interval,20.55,337.14,F,False,abh_1,316.59,2
paired trigger interval,21.150000000000002,366.26,F,False,abh_1,345.11,3
paired trigger interval,20.75,395.02,F,False,abh_1,374.27,4
paired trigger interval,20.91,425.15,F,False,abh_1,404.24,5
paired trigger interval,21.830000000000002,453.52,F,False,abh_1,431.69,6
paired trigger interval,21.25,547.55,F,False,abh_1,526.3,7
paired trigger interval,22.5,598.31,F,False,abh_1,575.81,8
paired trigger interval,22.18,629.31,F,False,abh_1,607.13,9
paired trigger interval,22.04,659.29,F,False,abh_1,637.25,10
paired trigger interval,20.93,690.4,F,False,abh_1,669.47,11
paired trigger interval,21.28,718.08,F,False,abh_1,696.8,12
paired trigger interval,20.77,757.55,F,False,abh_1,736.78,13
paired trigger interval,22.56,796.21,F,False,abh_1,773.65,14
paired trigger interval,21.05,825.41,F,False,abh_1,804.36,15
paired trigger interval,21.71,854.73,F,False,abh_1,833.02,16
paired trigger interval,24.41,884.12,F,False,abh_1,859.71,17
paired trigger interval,21.39,911.65,F,False,abh_1,890.26,18
paired trigger interval,24.97,2322.22,L,False,abh_21,2297.25,1
paired trigger interval,21.44,2352.09,L,False,abh_21,2330.65,2
paired trigger interval,20.46,2385.41,L,False,abh_21,2364.95,3
paired trigger interval,23.34,2415.48,L,False,abh_21,2392.14,4
paired trigger interval,20.76,2448.64,L,False,abh_21,2427.88,5
paired trigger interval,20.490000000000002,2473.5,L,False,abh_21,2453.01,6
paired trigger interval,19.62,2500.38,L,False,abh_21,2480.76,7
paired trigger interval,20.67,2526.65,L,False,abh_21,2505.98,8
paired trigger interval,20.56,2553.5,L,False,abh_21,2532.94,9
paired trigger interval,21.03,2586.23,L,False,abh_21,2565.2,10
paired trigger interval,22.82,2614.93,L,False,abh_21,2592.11,11
paired trigger interval,21.740000000000002,2645.2,L,False,abh_21,2623.46,12
paired trigger interval,19.7,2698.11,L,False,abh_21,2678.41,13
paired trigger interval,20.13,2723.53,L,False,abh_21,2703.4,14
paired trigger interval,21.3,2750.05,L,False,abh_21,2728.75,15
paired trigger interval,19.67,2781.1,L,False,abh_21,2761.43,16
paired trigger interval,19.150000000000002,2822.9,L,False,abh_21,2803.75,17
paired trigger interval,20.66,2848.96,L,False,abh_21,2828.3,18
paired trigger interval,20.22,2876.79,L,False,abh_21,2856.57,19
paired trigger interval,22.92,2906.5,L,False,abh_21,2883.58,20
paired trigger interval,19.38,2930.46,L,False,abh_21,2911.08,21
paired trigger interval,20.1,2954.72,L,False,abh_21,2934.62,22
