png,source_complete_graph,source_segmented_csv,status,sssw_start_seconds,sssw_end_seconds
Sub01_A/jitu_21/trial_04_l.png,tempgraphs/sub01_a/jitu_21/trial_04_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,created: exact completed-graph display transform,2.03,6.49
Sub01_A/jitu_21/trial_04_r.png,tempgraphs/sub01_a/jitu_21/trial_04_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,created: exact completed-graph display transform,2.03,6.49
Sub01_A/jitu_21/trial_05_l.png,tempgraphs/sub01_a/jitu_21/trial_05_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_l_segmented.csv,created: exact completed-graph display transform,3.29,11.65
Sub01_A/jitu_21/trial_05_r.png,tempgraphs/sub01_a/jitu_21/trial_05_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_r_segmented.csv,created: exact completed-graph display transform,3.29,11.65
Sub01_A/jitu_21/trial_06_l.png,tempgraphs/sub01_a/jitu_21/trial_06_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_l_segmented.csv,created: exact completed-graph display transform,3.52,6.2
Sub01_A/jitu_21/trial_06_r.png,tempgraphs/sub01_a/jitu_21/trial_06_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_r_segmented.csv,created: exact completed-graph display transform,3.52,6.2
Sub01_A/jitu_21/trial_07_l.png,tempgraphs/sub01_a/jitu_21/trial_07_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_l_segmented.csv,created: exact completed-graph display transform,3.20,8.04
Sub01_A/jitu_21/trial_07_r.png,tempgraphs/sub01_a/jitu_21/trial_07_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_r_segmented.csv,created: exact completed-graph display transform,3.20,8.04
Sub01_A/jitu_21/trial_08_l.png,tempgraphs/sub01_a/jitu_21/trial_08_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_l_segmented.csv,created: exact completed-graph display transform,2.55,5.62
Sub01_A/jitu_21/trial_08_r.png,tempgraphs/sub01_a/jitu_21/trial_08_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_r_segmented.csv,created: exact completed-graph display transform,2.55,5.62
Sub01_A/jitu_21/trial_09_l.png,tempgraphs/sub01_a/jitu_21/trial_09_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_l_segmented.csv,created: exact completed-graph display transform,3.13,8.68
Sub01_A/jitu_21/trial_09_r.png,tempgraphs/sub01_a/jitu_21/trial_09_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_r_segmented.csv,created: exact completed-graph display transform,3.13,8.68
Sub01_A/jitu_21/trial_10_l.png,tempgraphs/sub01_a/jitu_21/trial_10_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_l_segmented.csv,created: exact completed-graph display transform,1.44,4.26
Sub01_A/jitu_21/trial_10_r.png,tempgraphs/sub01_a/jitu_21/trial_10_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_r_segmented.csv,created: exact completed-graph display transform,1.44,4.26
Sub01_H/abh_1/trial_01_l.png,tempgraphs/sub01_h/abh_1/trial_01_l_complete.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_01_l_segmented.csv,created: exact completed-graph display transform,3.64,6.1
Sub01_H/abh_1/trial_01_r.png,tempgraphs/sub01_h/abh_1/trial_01_r_complete.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_01_r_segmented.csv,created: exact completed-graph display transform,3.64,6.1
Sub01_H/abh_1/trial_02_l.png,tempgraphs/sub01_h/abh_1/trial_02_l_complete.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_02_l_segmented.csv,created: exact completed-graph display transform,2.95,4.99
Sub01_H/abh_1/trial_02_r.png,tempgraphs/sub01_h/abh_1/trial_02_r_complete.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_02_r_segmented.csv,created: exact completed-graph display transform,2.95,4.99
