fmg_invalid_rows_skipped,fmg_trigger_rising_edges,insole_invalid_rows_skipped,insole_trigger_rising_edges,p95_relative_trigger_error_seconds,plots_created,record,side,status,subject,sync_status
3,1,2,1,0.0,,Rishabh_29,L,,Sub06_H,single trigger matched
3,1,5,1,0.0,,Rishabh_29,R,,Sub06_H,single trigger matched
7,1,6,1,0.0,,Rishabh_30,L,,Sub06_H,single trigger matched
7,1,3,1,0.0,,Rishabh_30,R,,Sub06_H,single trigger matched
4,1,4,1,0.0,,Rishabh_31,L,,Sub06_H,single trigger matched
4,1,1,1,0.0,,Rishabh_31,R,,Sub06_H,single trigger matched
15,1,5,1,0.0,,Rishabh_32,L,,Sub06_H,single trigger matched
15,1,3,1,0.0,,Rishabh_32,R,,Sub06_H,single trigger matched
5,1,3,1,0.0,,Rishabh_33,L,,Sub06_H,single trigger matched
5,1,4,1,0.0,,Rishabh_33,R,,Sub06_H,single trigger matched
15,1,4,1,0.0,,Rishabh_34,L,,Sub06_H,single trigger matched
15,1,3,1,0.0,,Rishabh_34,R,,Sub06_H,single trigger matched
7,1,4,1,0.0,,Rishabh_35,L,,Sub06_H,single trigger matched
7,1,1,1,0.0,,Rishabh_35,R,,Sub06_H,single trigger matched
4,1,9,1,0.0,,Rishabh_36,L,,Sub06_H,single trigger matched
4,1,4,1,0.0,,Rishabh_36,R,,Sub06_H,single trigger matched
7,1,5,1,0.0,,Rishabh_37,L,,Sub06_H,single trigger matched
7,1,4,1,0.0,,Rishabh_37,R,,Sub06_H,single trigger matched
6,1,6,1,0.0,,Rishabh_38,L,,Sub06_H,single trigger matched
6,1,4,1,0.0,,Rishabh_38,R,,Sub06_H,single trigger matched
13,1,4,1,0.0,,Rishabh_39,L,,Sub06_H,single trigger matched
13,1,5,1,0.0,,Rishabh_39,R,,Sub06_H,single trigger matched
4,1,4,1,0.0,,Rishabh_40,L,,Sub06_H,single trigger matched
4,1,7,1,0.0,,Rishabh_40,R,,Sub06_H,single trigger matched
3,1,,0,,,rohan_1,L,,Sub07_H,missing insole
3,1,18,1,0.0,,rohan_1,R,,Sub07_H,single trigger matched
3,1,5,1,0.0,,rohan_2,L,,Sub07_H,single trigger matched
3,1,9,1,0.0,,rohan_2,R,,Sub07_H,single trigger matched
18,2,28,2,537.4435,,rohan_3,L,,Sub07_H,trigger timing mismatch
18,2,22,2,537.605,,rohan_3,R,,Sub07_H,trigger timing mismatch
15,1,13,1,0.0,,rohan_4,L,,Sub07_H,single trigger matched
15,1,7,1,0.0,,rohan_4,R,,Sub07_H,single trigger matched
4,1,8,1,0.0,,rohan_5,L,,Sub07_H,single trigger matched
4,1,4,1,0.0,,rohan_5,R,,Sub07_H,single trigger matched
10,1,13,1,0.0,,rohan_6,L,,Sub07_H,single trigger matched
10,1,6,0,,,rohan_6,R,,Sub07_H,missing trigger event
3,1,13,1,0.0,,rohan_7,L,,Sub07_H,single trigger matched
3,1,4,1,0.0,,rohan_7,R,,Sub07_H,single trigger matched
10,1,12,1,0.0,,rohan_8,L,,Sub07_H,single trigger matched
10,1,15,1,0.0,,rohan_8,R,,Sub07_H,single trigger matched
3,1,13,1,0.0,,rohan_9,L,,Sub07_H,single trigger matched
3,1,3,1,0.0,,rohan_9,R,,Sub07_H,single trigger matched
4,1,13,1,0.0,,rohan_10,L,,Sub07_H,single trigger matched
4,1,13,1,0.0,,rohan_10,R,,Sub07_H,single trigger matched
3,1,6,1,0.0,,rohan_11,L,,Sub07_H,single trigger matched
3,1,4,1,0.0,,rohan_11,R,,Sub07_H,single trigger matched
10,2,4,2,0.0095,,rohan_12,L,,Sub07_H,trigger sequence synchronized
10,2,5,2,0.0,,rohan_12,R,,Sub07_H,trigger sequence synchronized
96,15,4,20,,,rohan_13,L,,Sub07_H,trigger count mismatch 15 vs 20
96,15,4,20,,,rohan_13,R,,Sub07_H,trigger count mismatch 15 vs 20
20,18,3,18,0.01,,rohan_21,L,,Sub07_H,trigger sequence synchronized
20,18,4,18,0.02,,rohan_21,R,,Sub07_H,trigger sequence synchronized
3,22,4,22,0.02,,rohan_30,L,,Sub07_H,trigger sequence synchronized
3,22,4,22,0.01,,rohan_30,R,,Sub07_H,trigger sequence synchronized
8,42,5,42,0.02,,sir_1,L,,Sub08_H,trigger sequence synchronized
8,42,4,42,0.01,,sir_1,R,,Sub08_H,trigger sequence synchronized
16,40,12,40,0.02,,sir_21,L,,Sub08_H,trigger sequence synchronized
16,40,5,40,0.01,,sir_21,R,,Sub08_H,trigger sequence synchronized
