png,source_segmented_csv,source_complete_graph,status,gi_samples,gi_seconds
Sub08_H/sir_1/trial_17_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_17_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_17_r_complete.png,created,46,0.46
Sub08_H/sir_1/trial_18_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_18_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_18_l_complete.png,created,40,0.4
Sub08_H/sir_1/trial_18_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_18_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_18_r_complete.png,created,40,0.4
Sub08_H/sir_1/trial_19_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_19_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_19_l_complete.png,created,68,0.68
Sub08_H/sir_1/trial_19_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_19_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_19_r_complete.png,created,68,0.68
Sub08_H/sir_1/trial_20_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_20_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_20_l_complete.png,created,106,1.06
Sub08_H/sir_1/trial_20_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_20_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_20_r_complete.png,created,106,1.06
Sub08_H/sir_1/trial_21_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_21_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_21_l_complete.png,created,48,0.48
Sub08_H/sir_1/trial_21_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_21_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_21_r_complete.png,created,48,0.48
Sub08_H/sir_21/trial_01_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_01_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_01_l_complete.png,created,71,0.71
Sub08_H/sir_21/trial_01_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_01_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_01_r_complete.png,created,71,0.71
Sub08_H/sir_21/trial_02_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_02_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_02_l_complete.png,created,54,0.54
