normalized_slt_percent,fmg_channel_5_mean,fmg_channel_5_standard_deviation,contributing_trace_count
0,247.1625,260.914890038,40
0.334448160535,247.382316054,261.178348376,40
0.66889632107,247.579013378,261.424186226,40
1.00334448161,247.697240803,261.597974179,40
1.33779264214,247.766973244,261.691584325,40
1.67224080268,247.767307692,261.689301003,40
2.00668896321,247.739715719,261.670550352,40
2.34113712375,247.688294314,261.623514052,40
2.67558528428,247.539632107,261.459247591,40
3.01003344482,247.348662207,261.250487888,40
3.34448160535,247.167976589,261.055172973,40
3.67892976589,247.015468227,260.883566651,40
4.01337792642,246.724414716,260.539441505,40
4.34782608696,246.377173913,260.13700756,40
4.68227424749,246.11764214,259.819800211,40
5.01672240803,245.886454849,259.535032826,40
5.35117056856,245.644230769,259.252163352,40
5.6856187291,245.406354515,258.992512017,40
6.02006688963,245.186204013,258.753714771,40
6.35451505017,245.030016722,258.451530327,40
6.6889632107,244.931354515,258.212965942,40
7.02341137124,244.877508361,258.048053273,40
7.35785953177,244.829013378,257.894969093,40
7.69230769231,244.825,257.794387926,40
8.02675585284,244.896237458,257.724985786,40
8.36120401338,245.043812709,257.700553453,40
8.69565217391,245.267391304,257.715508685,40
9.03010033445,245.483361204,257.708587808,40
9.36454849498,245.701672241,257.647919372,40
9.69899665552,245.951505017,257.619713558,40
10.0334448161,246.252508361,257.614628969,40
10.3678929766,246.622157191,257.66165414,40
10.7023411371,247.039966555,257.714144209,40
11.0367892977,247.438210702,257.746084785,40
11.3712374582,247.836705686,257.790695585,40
11.7056856187,248.423244147,257.864587327,40
12.0401337793,249.075250836,257.981675872,40
12.3745819398,249.359782609,258.186306038,40
12.7090301003,249.591262542,258.368624749,40
13.0434782609,249.724456522,258.562087341,40
13.3779264214,249.85388796,258.737854366,40
13.7123745819,250.026337793,258.915231185,40
14.0468227425,250.135702341,259.04515768,40
14.381270903,250.217307692,259.163005125,40
14.7157190635,250.392056856,259.342794802,40
15.0501672241,250.583026756,259.530820359,40
15.3846153846,250.675961538,259.656070443,40
15.7190635452,250.71166388,259.711408332,40
16.0535117057,250.784991639,259.841246004,40
16.3879598662,250.802090301,259.960412277,40
16.7224080268,250.758528428,260.024328656,40
17.0568561873,250.77090301,260.062112018,40
17.3913043478,250.867391304,260.112337399,40
17.7257525084,250.842307692,260.140653925,40
18.0602006689,250.725,260.100116332,40
18.3946488294,250.590635452,260.075631615,40
18.72909699,250.490133779,260.035993556,40
19.0635451505,250.485367893,259.992405703,40
19.397993311,250.43319398,259.929695325,40
19.7324414716,250.322909699,259.887864359,40
20.0668896321,250.245944816,259.876519559,40
20.4013377926,250.102633779,259.790797456,40
20.7357859532,250.176546823,259.614368088,40
21.0702341137,250.244272575,259.37856186,40
21.4046822742,250.232692308,259.084408389,40
21.7391304348,250.191304348,258.786826973,40
22.0735785953,250.12993311,258.47540297,40
22.4080267559,250.019063545,258.109832771,40
22.7424749164,249.872742475,257.710595674,40
23.0769230769,249.561538462,257.194687701,40
23.4113712375,249.228177258,256.642299583,40
23.745819398,248.898745819,256.056291798,40
24.0802675585,248.467140468,255.35893858,40
24.4147157191,247.951086957,254.593393027,40
24.7491638796,247.294648829,253.695088814,40
25.0836120401,246.599916388,252.791507023,40
25.4180602007,245.779264214,251.777767328,40
25.7525083612,244.759113712,250.567173469,40
26.0869565217,243.534782609,249.167090823,40
26.4214046823,242.185451505,247.668245889,40
26.7558528428,240.588294314,245.991583218,40
27.0903010033,238.796237458,244.157526549,40
27.4247491639,236.898913043,242.197550384,40
27.7591973244,234.638210702,239.96519592,40
28.0936454849,232.044816054,237.574520548,40
28.4280936455,229.51680602,235.255189009,40
28.762541806,226.901170569,232.873594648,40
29.0969899666,223.8,230.035512664,40
29.4314381271,220.079765886,226.627365092,40
29.7658862876,216.237876254,223.046927472,40
30.1003344482,212.41187291,219.528753284,40
30.4347826087,207.9625,215.442709622,40
30.7692307692,203.294230769,211.138001989,40
31.1036789298,199.13423913,207.28765212,40
31.4381270903,194.920819398,203.330903899,40
31.7725752508,190.789130435,199.426153622,40
32.1070234114,186.747742475,195.495738217,40
32.4414715719,182.44916388,191.312029639,40
32.7759197324,177.638043478,186.805713923,40
33.110367893,173.040133779,182.584014393,40
33.4448160535,168.740635451,178.863026156,40
33.779264214,164.201839465,174.912685654,40
34.1137123746,160.02951505,171.346193571,40
34.4481605351,156.089464883,167.911364434,40
34.7826086957,152.052173913,164.458254596,40
35.1170568562,147.861747492,160.812982488,40
35.4515050167,143.688043478,157.090165042,40
35.7859531773,139.551463211,153.354900458,40
36.1204013378,135.521906355,149.764734209,40
36.4548494983,131.491722408,146.134687996,40
36.7892976589,127.747909699,142.830263475,40
37.1237458194,124.901672241,140.31219898,40
37.4581939799,121.748076923,137.93027096,40
37.7926421405,118.645150502,135.482457461,40
38.127090301,115.922157191,133.359972299,40
38.4615384615,113.269230769,131.331961166,40
38.7959866221,110.67826087,129.522795358,40
39.1304347826,108.327173913,127.9525731,40
39.4648829431,105.938795987,126.517614751,40
39.7993311037,103.508528428,125.354390793,40
40.1337792642,101.689297659,124.808757054,40
40.4682274247,99.7136287625,124.065879735,40
40.8026755853,97.835367893,123.216650539,40
41.1371237458,95.714548495,122.443883422,40
41.4715719064,93.3336120401,121.74362539,40
41.8060200669,90.9721571906,121.053523552,40
42.1404682274,88.5163461538,120.539364531,40
42.474916388,86.0910535117,120.252665568,40
42.8093645485,83.9912625418,120.235992542,40
43.143812709,81.6925585284,120.128249354,40
43.4782608696,79.7641304348,120.009167847,40
43.8127090301,77.8357859532,119.712374602,40
44.1471571906,75.5178929766,119.014090741,40
44.4816053512,73.3368729097,118.422578577,40
44.8160535117,71.222909699,117.877123647,40
45.1505016722,68.6075250836,117.176526482,40
45.4849498328,65.6399665552,116.34775247,40
45.8193979933,63.7925585284,115.946383344,40
46.1538461538,61.7461538462,115.56405176,40
46.4882943144,59.9432274247,115.223141593,40
46.8227424749,58.9540551839,115.043148796,40
47.1571906355,58.2586120401,115.058039637,40
47.491638796,57.5226588629,115.1816687,40
47.8260869565,56.775,115.117317035,40
48.1605351171,55.9918896321,114.900192186,40
48.4949832776,55.2388377926,114.636353754,40
48.8294314381,54.852173913,114.503653236,40
49.1638795987,54.7022575251,114.529877376,40
49.4983277592,54.6948996656,114.567019007,40
49.8327759197,54.6005016722,114.538005381,40
50.1672240803,54.5823160535,114.574756677,40
50.5016722408,54.6782190636,114.657452037,40
50.8361204013,54.9543060201,114.762552927,40
51.1705685619,55.4527173913,114.889572808,40
51.5050167224,55.7088210702,115.043582091,40
51.8394648829,56.1117892977,115.279645665,40
52.1739130435,57.1135869565,115.603426766,40
52.508361204,58.3955685619,116.100116337,40
52.8428093645,59.7669732441,116.635793731,40
53.1772575251,61.3242474916,117.1901894,40
53.5117056856,63.2725334448,118.016015151,40
53.8461538462,65.2788461538,118.996853282,40
54.1806020067,67.3982859532,120.012171021,40
54.5150501672,69.5487458194,120.935280581,40
54.8494983278,71.6636705686,121.809945778,40
55.1839464883,73.7788461539,122.587811749,40
55.5183946488,76.1858695652,123.493868346,40
55.8528428094,78.6076923077,124.446031253,40
56.1872909699,80.8098244147,125.423005342,40
56.5217391304,83.0652173913,126.564544156,40
56.856187291,85.3408444816,127.57808275,40
57.1906354515,87.5928093646,128.670006451,40
57.525083612,89.8977424749,129.796135557,40
57.8595317726,92.2349916388,130.785885617,40
58.1939799331,94.5607859532,131.830528931,40
58.5284280936,96.8441889632,132.931143634,40
