normalized_sssw_percent,display_fmg_channel_1_mean,display_fmg_channel_2_mean,display_fmg_channel_3_mean,display_fmg_channel_4_mean,display_fmg_channel_5_mean,display_fmg_channel_6_mean,display_fmg_channel_7_mean,display_fmg_channel_8_mean,display_cop_mean,display_vgrf_mean,display_fmg_channel_1_standard_deviation,display_fmg_channel_2_standard_deviation,display_fmg_channel_3_standard_deviation,display_fmg_channel_4_standard_deviation,display_fmg_channel_5_standard_deviation,display_fmg_channel_6_standard_deviation,display_fmg_channel_7_standard_deviation,display_fmg_channel_8_standard_deviation,display_cop_standard_deviation,display_vgrf_standard_deviation,fmg_channel_1_contributing_trace_count,fmg_channel_2_contributing_trace_count,fmg_channel_3_contributing_trace_count,fmg_channel_4_contributing_trace_count,fmg_channel_5_contributing_trace_count,fmg_channel_6_contributing_trace_count,fmg_channel_7_contributing_trace_count,fmg_channel_8_contributing_trace_count,cop_contributing_trace_count,vgrf_contributing_trace_count
0,200.822084245,208.644126625,174.787136997,123.222621266,123.111714946,121.149692353,67.565855937,45.6798562153,407.870626303,380.289754913,53.5554582119,53.6283168893,53.6997914665,18.549314227,47.1842046041,38.2318133073,17.0107857629,13.0007746515,13.1346046604,24.6862560521,40,40,40,40,40,40,40,40,40,40
0.334448160535,200.887612956,210.473993319,174.792108091,123.127074504,123.099347028,122.723249321,67.5860411894,45.6920974492,407.84115109,380.059944676,53.4243992139,53.0551559678,53.3483698128,18.0667566554,46.9193497816,39.1165573065,16.8897110351,12.9643900361,13.1728084978,24.6292277619,40,40,40,40,40,40,40,40,40,40
0.66889632107,202.164510582,213.361936154,174.342178206,123.052018543,123.028946704,123.747614664,67.6770631113,45.5556577342,407.623053652,379.665037011,52.1973591796,52.8387532619,52.5942305695,17.5175987676,46.0639021316,40.4905435645,16.6163639555,12.9168363977,13.3731056709,23.5283647962,40,40,40,40,40,40,40,40,40,40
1.00334448161,203.379333651,214.914651818,173.499132622,122.805364803,122.629961496,124.949211073,67.7006183561,45.2865926871,407.123064469,379.428392465,50.9859325127,52.8597933252,51.5765457137,16.8427950156,45.2234133528,42.0261080007,16.2976810779,12.8258109639,13.8039421323,21.9780950544,40,40,40,40,40,40,40,40,40,40
1.33779264214,204.657432023,217.672339403,172.300105145,122.708683916,122.04254028,126.011032889,67.6641747727,45.1850901743,406.955015889,379.163530561,49.3134004426,53.3512305815,49.9016817481,15.9435346301,44.0562967617,44.2182886625,15.9718467724,12.5449225808,14.0214296531,20.5958327026,40,40,40,40,40,40,40,40,40,40
1.67224080268,205.785696083,219.692382474,170.912944903,122.59360045,121.458885777,126.471837774,67.5936573569,44.947971947,406.889500571,378.914991641,47.6079427642,53.2280372804,48.2758843215,14.4548116449,43.0747660472,47.584531227,15.6160389281,12.2872540172,14.1803789099,19.1680365107,40,40,40,40,40,40,40,40,40,40
2.00668896321,206.573902836,220.133204508,169.327238347,122.65896692,120.651669393,125.827021754,67.4192608084,44.5715456775,406.918391297,378.549106136,45.7364275099,52.8237582058,46.9528153489,12.5921430209,42.4403542867,50.5815084797,15.2423658926,12.0860460439,14.3370617373,18.2479834318,40,40,40,40,40,40,40,40,40,40
2.34113712375,207.269735811,218.93046072,167.573025026,122.669497311,119.866833298,124.46381845,67.1946299386,44.3553196749,407.090734681,377.97319071,43.8578994403,51.4994636968,45.7124969484,11.105224468,41.9346180508,51.8013005783,14.8927844435,11.8163951244,14.4713798994,17.5156059889,40,40,40,40,40,40,40,40,40,40
2.67558528428,207.20009786,216.80740018,165.794862144,122.424395389,119.048141811,122.62979954,66.9057480413,44.0710692626,407.218004595,377.372450295,43.0175707556,50.8502138806,45.0667817756,10.4009630071,41.6502517302,51.4110888515,14.6456970985,11.6838741954,14.5392932165,16.9534356405,40,40,40,40,40,40,40,40,40,40
3.01003344482,206.11800957,215.589660477,164.272514745,121.925698764,117.893138019,120.536305275,66.4285271941,43.6186932241,407.463000524,376.337903238,43.03926233,50.9731514368,45.1347097149,10.538360646,42.0187654384,49.1915854393,14.56065832,11.7983557953,14.4946554741,16.1498203638,40,40,40,40,40,40,40,40,40,40
