normalized_sssw_percent,fmg_channel_6_mean,fmg_channel_6_standard_deviation,contributing_trace_count
0,302.325,203.69774023,40
0.334448160535,303.531187291,201.527066901,40
0.66889632107,303.713628763,198.977294812,40
1.00334448161,303.039966555,194.482090793,40
1.33779264214,301.848453177,189.560373065,40
1.67224080268,300.141053512,185.333125988,40
2.00668896321,296.920401338,182.151818698,40
2.34113712375,293.023829431,179.477892418,40
2.67558528428,288.573369565,176.934288677,40
3.01003344482,283.826546823,175.082438635,40
3.34448160535,277.98708194,173.337561107,40
3.67892976589,273.95882107,170.935051564,40
4.01337792642,270.71166388,168.637596862,40
4.34782608696,268.089673913,166.202041719,40
4.68227424749,266.52909699,163.909199112,40
5.01672240803,267.126505017,162.258594413,40
5.35117056856,266.312541806,161.452542986,40
5.6856187291,263.025501672,160.223495521,40
6.02006688963,256.22132107,158.519083922,40
6.35451505017,247.567558528,156.224758915,40
6.6889632107,240.385158863,153.448894635,40
7.02341137124,231.329264214,152.052946304,40
7.35785953177,223.143269231,150.802473702,40
7.69230769231,218.533653846,147.678553593,40
8.02675585284,213.532316054,144.726799111,40
8.36120401338,206.63423913,142.654328198,40
8.69565217391,199.169565217,140.683452456,40
9.03010033445,192.709197324,136.796631215,40
9.36454849498,187.108152174,130.793178143,40
9.69899665552,179.562416388,124.385764543,40
10.0334448161,172.441429766,116.960948073,40
10.3678929766,164.877508361,108.098319552,40
10.7023411371,155.885827759,99.0000674318,40
11.0367892977,149.280434783,93.5165618866,40
11.3712374582,143.980894649,89.5640119249,40
11.7056856187,140.316555184,87.1241018111,40
12.0401337793,136.984782609,87.1310857164,40
12.3745819398,134.588586957,88.2629297292,40
12.7090301003,132.487374582,90.7094537425,40
13.0434782609,131.290217391,93.491144025,40
13.3779264214,130.510284281,96.2176406053,40
13.7123745819,131.215259197,98.3534714351,40
14.0468227425,133.059113712,101.259124988,40
14.381270903,133.835785953,102.594047082,40
14.7157190635,135.134448161,103.094808613,40
15.0501672241,135.869021739,103.207749239,40
15.3846153846,136.067307692,103.106545955,40
15.7190635452,135.56229097,102.314504491,40
16.0535117057,138.389297659,102.667378215,40
16.3879598662,142.078010033,103.605629495,40
16.7224080268,147.725501672,106.994151699,40
17.0568561873,151.952926421,112.337219585,40
17.3913043478,156.732065217,119.260746959,40
17.7257525084,160.152215719,123.595199675,40
18.0602006689,164.438043478,126.070831644,40
18.3946488294,169.354264214,129.838876046,40
18.72909699,171.938712375,133.535393827,40
19.0635451505,174.711371237,137.070583865,40
19.397993311,177.036036789,141.17736487,40
19.7324414716,178.70861204,142.689321552,40
20.0668896321,180.291471572,143.560955415,40
20.4013377926,182.022240803,142.580876191,40
20.7357859532,182.134615385,140.238011512,40
21.0702341137,182.141973244,135.46944286,40
21.4046822742,181.777341137,132.809625004,40
21.7391304348,183.305434783,131.680948997,40
22.0735785953,185.02909699,131.786479001,40
22.4080267559,185.600752508,134.089083095,40
22.7424749164,188.768185619,137.362740896,40
23.0769230769,192.294230769,141.31140325,40
23.4113712375,195.990050167,144.635514628,40
23.745819398,199.652926421,148.276647692,40
24.0802675585,204.817809365,150.287189193,40
24.4147157191,208.748160535,152.450144336,40
24.7491638796,212.717809365,153.676719209,40
25.0836120401,215.500083612,154.866527389,40
25.4180602007,216.64264214,155.376358326,40
25.7525083612,216.896822742,156.273787184,40
26.0869565217,217.229891304,155.603946248,40
26.4214046823,215.60326087,154.922881543,40
26.7558528428,212.96638796,154.189954941,40
27.0903010033,213.351672241,154.174138299,40
27.4247491639,213.329682274,155.09458808,40
27.7591973244,213.862625418,156.434004901,40
28.0936454849,214.464841137,159.540653842,40
28.4280936455,215.326421405,163.190398037,40
28.762541806,215.618478261,164.689150247,40
29.0969899666,215.781856187,165.045957253,40
29.4314381271,216.456479933,165.259142329,40
29.7658862876,217.071822742,165.416068895,40
30.1003344482,217.394397993,165.533439712,40
30.4347826087,218.798913043,164.666547026,40
30.7692307692,218.173076923,162.530191779,40
31.1036789298,215.333277592,161.572327563,40
31.4381270903,214.387959866,160.266523039,40
31.7725752508,213.063294314,158.444064186,40
32.1070234114,210.465635452,155.548036039,40
32.4414715719,205.073996656,154.104865158,40
32.7759197324,201.121070234,152.584211988,40
33.110367893,198.711956522,151.255589954,40
33.4448160535,198.963461538,150.001700078,40
33.779264214,197.855602007,148.868665352,40
34.1137123746,197.797826087,146.219812186,40
34.4481605351,196.288712375,144.422288373,40
34.7826086957,195.672826087,143.825678193,40
35.1170568562,195.74222408,142.493430668,40
35.4515050167,199.18319398,140.355383995,40
35.7859531773,204.132943144,139.329406065,40
36.1204013378,207.397408027,139.774452175,40
36.4548494983,210.192098662,140.394964623,40
36.7892976589,213.9,140.624309884,40
37.1237458194,214.734071906,142.489008994,40
37.4581939799,218.186789298,144.594085459,40
37.7926421405,222.529431438,147.849478225,40
38.127090301,225.689255853,150.316579229,40
38.4615384615,229.740384615,153.093310572,40
38.7959866221,233.689423077,156.393940542,40
39.1304347826,235.62826087,160.917403859,40
39.4648829431,239.540217391,164.317838911,40
39.7993311037,243.263628763,168.276653134,40
40.1337792642,245.662332776,173.092690058,40
40.4682274247,247.823327759,178.18639284,40
40.8026755853,248.521571906,181.54924081,40
41.1371237458,249.525250836,184.441724158,40
41.4715719064,251.454180602,186.152626801,40
41.8060200669,251.942683946,189.043887109,40
42.1404682274,253.685367893,190.672991414,40
42.474916388,258.023787625,191.813365087,40
42.8093645485,260.945819398,193.247464073,40
43.143812709,261.800459866,194.380207015,40
43.4782608696,261.495652174,194.138715815,40
43.8127090301,260.786789298,193.180187297,40
44.1471571906,260.406688963,189.620638503,40
44.4816053512,256.298996656,186.055066393,40
44.8160535117,250.638712375,183.671093845,40
45.1505016722,243.585702341,181.823842986,40
45.4849498328,238.273327759,179.336421473,40
45.8193979933,232.538043478,177.723329153,40
46.1538461538,226.732692308,176.85280355,40
46.4882943144,221.912625418,176.441353148,40
46.8227424749,219.597575251,176.282830131,40
47.1571906355,221.380685619,177.212422336,40
47.491638796,222.334531773,179.315369256,40
47.8260869565,223.451086957,182.799469625,40
48.1605351171,223.778177258,186.699696034,40
48.4949832776,224.616471572,189.154578026,40
48.8294314381,225.551421405,192.149318948,40
49.1638795987,226.658862876,193.281170946,40
49.4983277592,227.689506689,193.464243501,40
49.8327759197,227.831479933,191.985505289,40
50.1672240803,224.076755853,190.588208501,40
50.5016722408,222.371362876,189.542132837,40
50.8361204013,220.967516722,188.766854887,40
51.1705685619,221.425919732,188.662326701,40
51.5050167224,222.686956522,189.616180785,40
51.8394648829,226.395735786,190.906071439,40
52.1739130435,230.019021739,192.69407993,40
52.508361204,234.312040134,193.071338349,40
52.8428093645,237.143018395,192.975040256,40
53.1772575251,239.459071906,192.690038638,40
53.5117056856,241.356647157,192.099340511,40
53.8461538462,244.127884615,191.048721749,40
54.1806020067,248.209866221,190.121467663,40
54.5150501672,252.094230769,189.966938196,40
54.8494983278,255.577173913,189.314419795,40
55.1839464883,258.247617057,188.558559897,40
55.5183946488,261.005852843,187.769566606,40
55.8528428094,265.631521739,184.77494504,40
56.1872909699,270.251003344,180.088579097,40
56.5217391304,270.010869565,177.684013818,40
56.856187291,270.075041806,176.025758167,40
57.1906354515,271.148327759,175.226794286,40
57.525083612,269.517474916,175.152569882,40
57.8595317726,266.855894649,176.060467833,40
58.1939799331,264.472909699,175.144454862,40
58.5284280936,260.815719064,173.841448398,40
58.8628762542,256.404431438,172.450895822,40
59.1973244147,252.890886288,170.213060122,40
59.5317725753,254.052090301,165.251036625,40
59.8662207358,253.206521739,162.485708058,40
60.2006688963,249.007692308,162.46865328,40
60.5351170569,247.433277592,162.899952772,40
60.8695652174,245.624456522,163.312059796,40
61.2040133779,244.651964883,164.58382723,40
61.5384615385,241.396153846,164.339259383,40
61.872909699,238.98666388,163.489572106,40
62.2073578595,236.67541806,161.998281085,40
62.5418060201,235.195861204,160.344331405,40
62.8762541806,232.61208194,159.319318259,40
63.2107023411,229.737040134,157.477020358,40
63.5451505017,227.271362876,156.68351865,40
63.8795986622,224.108110368,157.218630511,40
64.2140468227,223.17006689,157.558135314,40
64.5484949833,223.216346154,157.42488223,40
64.8829431438,222.468227425,158.619146846,40
