normalized_sssw_percent,fmg_channel_8_mean,fmg_channel_8_standard_deviation,contributing_trace_count
0,274.075,252.43230652,40
0.334448160535,274.113754181,252.125228892,40
0.66889632107,273.645819398,251.451433043,40
1.00334448161,272.142558528,249.761096521,40
1.33779264214,270.237667224,247.165759107,40
1.67224080268,267.939548495,244.253748467,40
2.00668896321,265.106814381,241.191365385,40
2.34113712375,262.106354515,237.502007923,40
2.67558528428,258.968478261,234.217761265,40
3.01003344482,255.780518395,231.773936355,40
3.34448160535,252.077675585,229.204911393,40
3.67892976589,248.278344482,226.649878755,40
4.01337792642,244.34611204,224.12961469,40
4.34782608696,240.958152174,221.891526722,40
4.68227424749,238.698913043,220.021376706,40
5.01672240803,236.764381271,219.167006836,40
5.35117056856,233.660618729,218.300876074,40
5.6856187291,229.131730769,216.250568275,40
6.02006688963,223.707023411,212.808913239,40
6.35451505017,217.803344482,208.580058123,40
6.6889632107,211.614339465,204.119749115,40
7.02341137124,205.864966555,200.365803715,40
7.35785953177,200.426003344,196.801503811,40
7.69230769231,193.984615385,192.729035691,40
8.02675585284,188.344565217,189.061578404,40
8.36120401338,182.255936455,185.209145411,40
8.69565217391,175.648369565,180.871111112,40
9.03010033445,169.500292642,175.469927251,40
9.36454849498,162.876421405,169.580545195,40
9.69899665552,156.811789298,163.005310154,40
10.0334448161,150.580351171,155.295171815,40
10.3678929766,144.42867893,147.577757401,40
10.7023411371,137.827257525,138.939783589,40
11.0367892977,131.476672241,131.397211229,40
11.3712374582,126.108235786,125.514658483,40
11.7056856187,121.958570234,121.498750027,40
12.0401337793,118.897826087,119.339840859,40
12.3745819398,117.198076923,119.018122067,40
12.7090301003,115.617976589,118.783523837,40
13.0434782609,114.619565217,119.246113604,40
13.3779264214,114.467976589,120.404521923,40
13.7123745819,114.677508361,121.096612137,40
14.0468227425,115.793561873,123.060935887,40
14.381270903,116.130852843,124.561621953,40
14.7157190635,117.22173913,125.796216062,40
15.0501672241,118.086078595,126.737680312,40
15.3846153846,118.438461538,126.939775358,40
15.7190635452,118.418812709,126.550502014,40
16.0535117057,119.820443144,127.799818321,40
16.3879598662,122.963586957,130.74279096,40
16.7224080268,127.463085284,136.513197246,40
17.0568561873,131.539673913,142.061996079,40
17.3913043478,136.861956522,148.764811621,40
17.7257525084,141.470944816,153.771604736,40
18.0602006689,145.603177258,158.696646715,40
18.3946488294,148.915677258,162.89039349,40
