baseline,gain,offset,record,side,signal,trial
360.00000000000273,0.28571428571428326,100,jitu_1,R,Channel 5,5
338.00000000000136,0.24999999999999908,80,jitu_1,R,Channel 6,5
513.0000000000027,0.10638297872340403,60,jitu_1,R,Channel 7,5
415.9999999999975,0.09708737864077749,40,jitu_1,R,Channel 8,5
3.17,2.225047679593134,400,jitu_1,R,CoP,5
217.00000000000136,0.08,380,jitu_1,R,vGRF,5
190.0,1.0,200,jitu_1,L,Channel 1,6
50.99999999999727,1.0,170,jitu_1,L,Channel 2,6
50.0,1.0,145,jitu_1,L,Channel 3,6
43.0,1.0,120,jitu_1,L,Channel 4,6
0.0,1.0,100,jitu_1,L,Channel 5,6
80.99999999999953,1.0,80,jitu_1,L,Channel 6,6
37.99999999999477,1.0,60,jitu_1,L,Channel 7,6
32.000000000005,1.0,40,jitu_1,L,Channel 8,6
15.31999999999892,2.5,400,jitu_1,L,CoP,6
1071.550000000095,0.07670560389224573,380,jitu_1,L,vGRF,6
564.0000000000043,0.4668304668305361,200,jitu_1,R,Channel 1,6
393.0,0.5498281786941978,170,jitu_1,R,Channel 2,6
464.0,0.5487804878048781,145,jitu_1,R,Channel 3,6
639.0,0.23157894736842305,120,jitu_1,R,Channel 4,6
344.0,0.3010033444816069,100,jitu_1,R,Channel 5,6
340.0,0.2777777777777809,80,jitu_1,R,Channel 6,6
476.9999999999959,0.1160092807424605,60,jitu_1,R,Channel 7,6
401.0,0.10563380281690272,40,jitu_1,R,Channel 8,6
3.17,2.2250476795955088,400,jitu_1,R,CoP,6
154.0,0.07246376811594259,380,jitu_1,R,vGRF,6
192.99999999999773,1.0,200,jitu_1,L,Channel 1,7
46.000000000001364,1.0,170,jitu_1,L,Channel 2,7
51.0,1.0,145,jitu_1,L,Channel 3,7
42.0,1.0,120,jitu_1,L,Channel 4,7
0.0,1.0,100,jitu_1,L,Channel 5,7
70.99999999999955,1.0,80,jitu_1,L,Channel 6,7
37.99999999999909,1.0,60,jitu_1,L,Channel 7,7
33.0,1.0,40,jitu_1,L,Channel 8,7
14.989999999999881,2.5,400,jitu_1,L,CoP,7
1042.5600000000404,0.07038146755414627,380,jitu_1,L,vGRF,7
591.0000000000082,0.4068522483939999,200,jitu_1,R,Channel 1,7
391.9999999999993,0.5387205387205399,170,jitu_1,R,Channel 2,7
461.0,0.5487804878048832,145,jitu_1,R,Channel 3,7
633.9999999999977,0.22312373225152232,120,jitu_1,R,Channel 4,7
340.9999999999968,0.3040540540540588,100,jitu_1,R,Channel 5,7
349.00000000000364,0.26217228464419645,80,jitu_1,R,Channel 6,7
481.9999999999977,0.1141552511415531,60,jitu_1,R,Channel 7,7
392.00000000000546,0.10238907849829161,40,jitu_1,R,Channel 8,7
3.19,2.227880330999904,400,jitu_1,R,CoP,7
153.99999999999648,0.07425742574257653,380,jitu_1,R,vGRF,7
194.0,1.0,200,jitu_1,L,Channel 1,8
45.99999999999977,1.0,170,jitu_1,L,Channel 2,8
49.0,1.0,145,jitu_1,L,Channel 3,8
43.0,1.0,120,jitu_1,L,Channel 4,8
0.0,1.0,100,jitu_1,L,Channel 5,8
51.0,1.0,80,jitu_1,L,Channel 6,8
37.0,1.0,60,jitu_1,L,Channel 7,8
34.00000000000091,1.0,40,jitu_1,L,Channel 8,8
15.36,2.5,400,jitu_1,L,CoP,8
1160.4600000000082,0.07688421237616011,380,jitu_1,L,vGRF,8
428.0,0.48951048951048953,200,jitu_1,R,Channel 1,8
259.0,0.5647840531561462,170,jitu_1,R,Channel 2,8
333.0000000000016,0.703971119133578,145,jitu_1,R,Channel 3,8
579.0,0.24336283185840707,120,jitu_1,R,Channel 4,8
162.99999999999932,0.6417112299465229,100,jitu_1,R,Channel 5,8
193.0,0.5223880597014925,80,jitu_1,R,Channel 6,8
