normalized_gt_percent,fmg_channel_8_mean,fmg_channel_8_standard_deviation,contributing_trace_count
0,198.775,215.564316098,40
0.334448160535,198.796655518,216.006958706,40
0.66889632107,198.919648829,216.305725457,40
1.00334448161,199.533862876,216.428256313,40
1.33779264214,199.932023411,216.230135438,40
1.67224080268,200.083862876,215.715510544,40
2.00668896321,200.301588629,215.594553521,40
2.34113712375,200.124080268,215.284101876,40
2.67558528428,200.201254181,214.993983224,40
3.01003344482,200.31701505,214.589458129,40
3.34448160535,200.63319398,214.314129399,40
3.67892976589,200.663210702,214.08237189,40
4.01337792642,201.12173913,213.797951215,40
4.34782608696,201.92826087,213.534275514,40
4.68227424749,203.10861204,213.390475473,40
5.01672240803,203.76229097,213.416477691,40
5.35117056856,204.435493311,213.168795778,40
5.6856187291,205.773913043,213.15659705,40
6.02006688963,207.901295987,213.244451446,40
6.35451505017,209.381103679,213.273514453,40
6.6889632107,210.938586957,213.637247978,40
7.02341137124,212.267558528,213.943494582,40
7.35785953177,213.435284281,214.319489399,40
7.69230769231,214.609615385,214.915001182,40
8.02675585284,215.386705686,215.572035896,40
8.36120401338,216.494397993,216.272886911,40
8.69565217391,217.692934783,216.895859352,40
9.03010033445,219.4659699,217.692859372,40
9.36454849498,220.902424749,218.033223218,40
9.69899665552,222.248494983,218.516946993,40
10.0334448161,223.223662207,218.96504633,40
10.3678929766,223.575083612,219.016970914,40
10.7023411371,223.654264214,218.925865508,40
11.0367892977,223.53770903,218.212185856,40
11.3712374582,223.260535117,217.266114631,40
11.7056856187,222.231730769,216.077460759,40
12.0401337793,221.461120401,214.930692852,40
12.3745819398,219.715217391,213.658190675,40
12.7090301003,218.22416388,212.317595561,40
13.0434782609,215.691304348,210.521428174,40
13.3779264214,213.889046823,209.408481637,40
13.7123745819,213.061705686,207.735441914,40
14.0468227425,213.500167224,205.688382334,40
14.381270903,215.453929766,203.720779596,40
14.7157190635,217.538377926,202.217912256,40
15.0501672241,220.099832776,201.453269906,40
15.3846153846,221.997115385,201.739401148,40
15.7190635452,223.953344482,202.537575481,40
16.0535117057,224.465091973,202.768524628,40
16.3879598662,226.218102007,204.257102068,40
16.7224080268,226.700250836,205.288139045,40
17.0568561873,226.078344482,205.583071586,40
17.3913043478,225.527173913,206.446177982,40
17.7257525084,225.5,206.816833682,40
18.0602006689,224.794732441,207.383104457,40
18.3946488294,224.290719064,207.858592556,40
18.72909699,223.794732441,208.29297954,40
19.0635451505,222.973411371,208.474241481,40
19.397993311,222.238712375,209.01218223,40
19.7324414716,221.358695652,209.195292961,40
20.0668896321,220.832943144,209.151968861,40
20.4013377926,219.840259197,208.83281604,40
20.7357859532,219.767098662,208.720987258,40
21.0702341137,219.125459866,207.803473423,40
21.4046822742,217.824331104,206.439944311,40
21.7391304348,216.42826087,204.847840517,40
22.0735785953,214.980058528,203.629180302,40
22.4080267559,213.525543478,202.111747644,40
22.7424749164,212.450752508,200.944112992,40
23.0769230769,210.859615385,199.696977461,40
23.4113712375,209.645610368,198.738774206,40
23.745819398,208.46312709,197.93168824,40
24.0802675585,206.68423913,197.104679393,40
24.4147157191,204.407943144,196.259840626,40
24.7491638796,202.985785953,195.159797552,40
25.0836120401,201.611287625,194.37369552,40
25.4180602007,200.847993311,193.71900066,40
25.7525083612,200.116346154,193.012083608,40
26.0869565217,199.418478261,192.313771146,40
26.4214046823,198.714966555,191.968833508,40
26.7558528428,198.352842809,191.513044496,40
27.0903010033,197.621153846,191.111173183,40
27.4247491639,197.076003344,190.586044464,40
27.7591973244,196.727257525,189.958373902,40
28.0936454849,196.299331104,189.069669066,40
28.4280936455,195.906145485,188.065418563,40
28.762541806,194.885451505,186.663493022,40
29.0969899666,194.347993311,185.187249737,40
29.4314381271,193.872491639,183.855529025,40
29.7658862876,192.885242475,182.135643983,40
30.1003344482,191.90861204,180.313527451,40
30.4347826087,190.311413043,177.903024867,40
30.7692307692,189.629807692,176.280851446,40
31.1036789298,189.198327759,174.511727368,40
31.4381270903,188.583026756,172.970265576,40
31.7725752508,187.689255853,171.443282869,40
32.1070234114,186.591722408,169.874879946,40
32.4414715719,185.857859532,168.201704721,40
32.7759197324,184.017474916,165.704116821,40
33.110367893,182.614757525,164.125420618,40
33.4448160535,181.60326087,162.56865817,40
33.779264214,180.436705686,160.447353785,40
34.1137123746,179.245150502,158.402271829,40
34.4481605351,177.739339465,156.531832528,40
34.7826086957,177.221195652,155.646808862,40
35.1170568562,176.491638796,154.829111218,40
35.4515050167,175.740635452,154.210113888,40
35.7859531773,174.577424749,153.583482418,40
36.1204013378,173.838377926,153.420138803,40
36.4548494983,173.591011706,153.249708857,40
36.7892976589,173.502633779,153.252348427,40
37.1237458194,173.656479933,153.213092215,40
37.4581939799,174.368018395,153.726703911,40
37.7926421405,175.668143813,154.312417306,40
38.127090301,177.385200669,155.487776371,40
38.4615384615,178.423076923,156.975645654,40
38.7959866221,180.193394649,158.726850461,40
39.1304347826,181.922282609,160.804448255,40
39.4648829431,183.575,162.797413717,40
39.7993311037,185.419565217,164.815571294,40
40.1337792642,186.810033445,166.420922125,40
40.4682274247,187.702215719,168.013409155,40
40.8026755853,189.347073579,169.583770537,40
41.1371237458,190.36985786,170.635656737,40
41.4715719064,191.782859532,172.501949477,40
41.8060200669,192.990886288,173.896847836,40
42.1404682274,194.276254181,175.252530263,40
42.474916388,195.19548495,175.863982202,40
42.8093645485,196.111120401,176.462244669,40
43.143812709,197.127173913,177.087612,40
43.4782608696,197.979347826,177.589136273,40
43.8127090301,198.785785953,178.086196927,40
44.1471571906,199.995819398,178.675523512,40
44.4816053512,200.898244147,179.315254694,40
44.8160535117,201.634448161,179.753792083,40
45.1505016722,202.30041806,180.295670025,40
45.4849498328,202.992767559,180.788192679,40
45.8193979933,203.845025084,181.438282641,40
46.1538461538,204.438461538,182.158864276,40
46.4882943144,205.2590301,182.913248194,40
46.8227424749,205.870610368,183.492949343,40
47.1571906355,206.864924749,184.086573092,40
47.491638796,207.677508361,184.56543104,40
47.8260869565,208.410869565,185.249436323,40
48.1605351171,208.859113712,185.759100662,40
48.4949832776,209.76312709,186.275593002,40
48.8294314381,210.643645485,186.76004053,40
49.1638795987,211.479849498,187.277391606,40
49.4983277592,211.683946488,187.184347117,40
49.8327759197,211.217809365,186.56089178,40
50.1672240803,211.002508361,185.765831045,40
50.5016722408,210.625752508,184.818742124,40
50.8361204013,210.352341137,183.999501501,40
51.1705685619,209.890510033,183.210701631,40
51.5050167224,209.408026756,182.30783332,40
51.8394648829,208.601086957,181.179008278,40
52.1739130435,207.697826087,180.292171235,40
52.508361204,207.253386288,179.939611805,40
52.8428093645,206.977132107,179.703495061,40
53.1772575251,206.676797659,179.691761634,40
53.5117056856,206.573829431,180.198882875,40
53.8461538462,206.484615385,180.326622792,40
54.1806020067,206.652299331,180.574354561,40
54.5150501672,206.67479097,180.837509037,40
54.8494983278,206.787834448,181.146480228,40
55.1839464883,207.122658863,181.428267122,40
55.5183946488,207.420025084,181.771131973,40
55.8528428094,207.623787625,182.058294397,40
56.1872909699,208.031856187,182.307205745,40
56.5217391304,208.404347826,182.483707277,40
56.856187291,208.702341137,182.760706843,40
57.1906354515,209.456856187,183.080953713,40
57.525083612,209.892056856,183.413699057,40
57.8595317726,210.520986622,183.562474905,40
58.1939799331,210.988712375,184.008794899,40
58.5284280936,211.843896321,184.412639389,40
58.8628762542,212.618436455,184.843755638,40
59.1973244147,213.45923913,185.023555163,40
59.5317725753,214.144816054,185.377486304,40
59.8662207358,214.89506689,185.724624012,40
60.2006688963,215.219816054,185.877578429,40
60.5351170569,215.841889632,186.20213014,40
60.8695652174,216.281521739,186.498662043,40
61.2040133779,216.820610368,186.966162562,40
61.5384615385,217.296153846,187.254237792,40
61.872909699,217.630602007,187.557514591,40
62.2073578595,218.097115385,187.802194313,40
62.5418060201,218.701839465,188.255557031,40
62.8762541806,218.955351171,188.612734769,40
63.2107023411,219.146362876,188.72261607,40
63.5451505017,219.345944816,189.037135585,40
63.8795986622,219.72069398,189.320725149,40
64.2140468227,219.866638796,189.479777776,40
64.5484949833,219.326923077,189.506134413,40
64.8829431438,218.948913043,189.695507153,40
65.2173913043,218.683695652,189.953512865,40
65.5518394649,219.267600334,190.248094015,40
65.8862876254,219.591220736,190.607912494,40
66.220735786,220.127717391,191.103348059,40
66.5551839465,220.33361204,191.552922704,40
66.889632107,220.695986622,191.581778444,40
67.2240802676,221.129807692,191.750766679,40
67.5585284281,221.511998328,192.031316624,40
67.8929765886,221.947575251,192.081404273,40
68.2274247492,222.172867893,192.251144741,40
68.5618729097,222.483444816,192.389221613,40
68.8963210702,223.058695652,192.470718628,40
69.2307692308,223.594230769,192.780371392,40
69.5652173913,224.206521739,193.318792366,40
69.8996655518,224.68298495,193.726182935,40
70.2341137124,225.149832776,193.794505631,40
70.5685618729,225.400585284,193.594061557,40
70.9030100334,225.567851171,193.611853903,40
71.237458194,225.697993311,193.616249256,40
71.5719063545,225.665050167,193.56628088,40
71.9063545151,225.546948161,193.470588421,40
72.2408026756,225.534322742,193.333806333,40
72.5752508361,225.578511706,193.335305289,40
72.9096989967,225.59506689,193.416536333,40
73.2441471572,225.64916388,193.569326045,40
73.5785953177,225.694523411,193.554610997,40
73.9130434783,225.652173913,193.884061431,40
74.2474916388,225.62930602,193.946335237,40
74.5819397993,225.8,194.109795229,40
74.9163879599,225.931479933,194.319768056,40
75.2508361204,226.085200669,194.478882309,40
75.5852842809,226.187123746,194.689673145,40
75.9197324415,226.342725753,195.01771208,40
76.254180602,226.464297659,195.233318893,40
76.5886287625,226.581605351,195.575845047,40
76.9230769231,226.798076923,195.733631671,40
77.2575250836,226.850668896,196.00738213,40
77.5919732441,226.908695652,196.090334596,40
77.9264214047,227.244439799,196.213440877,40
78.2608695652,227.213043478,196.390969814,40
78.5953177258,227.295192308,196.342673278,40
78.9297658863,227.356688963,196.375830995,40
79.2642140468,227.257859532,196.510840504,40
79.5986622074,227.273996656,196.310804165,40
79.9331103679,227.144690635,196.376124664,40
80.2675585284,226.957023411,196.126027222,40
80.602006689,226.593896321,195.775435201,40
80.9364548495,226.301839465,195.370611368,40
81.27090301,225.944063545,194.788088153,40
81.6053511706,225.53235786,194.310901152,40
81.9397993311,225.126672241,193.757516531,40
82.2742474916,224.650041806,193.152940088,40
82.6086956522,224.229347826,192.63325145,40
82.9431438127,223.761371237,192.350369081,40
83.2775919732,223.264381271,191.895993992,40
83.6120401338,223.056939799,191.548222015,40
83.9464882943,222.606187291,191.09270844,40
84.2809364548,222.222617057,190.698464082,40
84.6153846154,221.736538462,190.41209117,40
84.9498327759,221.168311037,189.905055853,40
85.2842809365,220.863419732,189.673262779,40
85.618729097,220.613377926,189.485241469,40
85.9531772575,220.186705686,189.324435744,40
86.2876254181,219.618143813,189.128077412,40
86.6220735786,219.529556856,188.915081558,40
86.9565217391,219.206521739,188.658253845,40
