fmg_trigger_rising_edges,insole_trigger_rising_edges,p95_relative_trigger_error_seconds,record,side,status,subject,sync_status
1,1,0.0,Rishabh_35,R,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_36,L,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_36,R,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_37,L,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_37,R,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_38,L,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_38,R,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_39,L,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_39,R,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_40,L,,Sub06_H,single trigger matched
1,1,0.0,Rishabh_40,R,,Sub06_H,single trigger matched
1,0,,rohan_1,L,,Sub07_H,missing insole
1,1,0.0,rohan_1,R,,Sub07_H,single trigger matched
1,1,0.0,rohan_2,L,,Sub07_H,single trigger matched
1,1,0.0,rohan_2,R,,Sub07_H,single trigger matched
2,2,537.4435,rohan_3,L,,Sub07_H,trigger timing mismatch
2,2,537.605,rohan_3,R,,Sub07_H,trigger timing mismatch
1,1,0.0,rohan_4,L,,Sub07_H,single trigger matched
1,1,0.0,rohan_4,R,,Sub07_H,single trigger matched
1,1,0.0,rohan_5,L,,Sub07_H,single trigger matched
1,1,0.0,rohan_5,R,,Sub07_H,single trigger matched
1,1,0.0,rohan_6,L,,Sub07_H,single trigger matched
1,0,,rohan_6,R,,Sub07_H,missing trigger event
1,1,0.0,rohan_7,L,,Sub07_H,single trigger matched
1,1,0.0,rohan_7,R,,Sub07_H,single trigger matched
1,1,0.0,rohan_8,L,,Sub07_H,single trigger matched
1,1,0.0,rohan_8,R,,Sub07_H,single trigger matched
1,1,0.0,rohan_9,L,,Sub07_H,single trigger matched
1,1,0.0,rohan_9,R,,Sub07_H,single trigger matched
1,1,0.0,rohan_10,L,,Sub07_H,single trigger matched
1,1,0.0,rohan_10,R,,Sub07_H,single trigger matched
1,1,0.0,rohan_11,L,,Sub07_H,single trigger matched
1,1,0.0,rohan_11,R,,Sub07_H,single trigger matched
2,2,0.0095,rohan_12,L,,Sub07_H,trigger sequence synchronized
2,2,0.0,rohan_12,R,,Sub07_H,trigger sequence synchronized
15,20,,rohan_13,L,,Sub07_H,trigger count mismatch 15 vs 20
15,20,,rohan_13,R,,Sub07_H,trigger count mismatch 15 vs 20
18,18,0.01,rohan_21,L,,Sub07_H,trigger sequence synchronized
18,18,0.02,rohan_21,R,,Sub07_H,trigger sequence synchronized
22,22,0.02,rohan_30,L,,Sub07_H,trigger sequence synchronized
22,22,0.01,rohan_30,R,,Sub07_H,trigger sequence synchronized
42,42,0.02,sir_1,L,,Sub08_H,trigger sequence synchronized
42,42,0.01,sir_1,R,,Sub08_H,trigger sequence synchronized
40,40,0.02,sir_21,L,,Sub08_H,trigger sequence synchronized
40,40,0.01,sir_21,R,,Sub08_H,trigger sequence synchronized
